map_name,scenario,threads,mapsize,pinning,n_samples,ops_per_sec_mean,ops_per_sec_std,ops_per_sec_se,ops_per_sec_ci95_low,ops_per_sec_ci95_high,latency_mean_ns,latency_std_ns,latency_ci95_low,latency_ci95_high,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,peak_rss_kb,bytes_per_entry
dashmap,balanced,16,10000000,compact,40,87213781.35,2137658.43,337993.47,86551314.14,87876248.56,247.77,8.15,245.24,250.30,222,386,477,726,281872,27.52
dashmap,balanced,16,10000000,spread,40,87243787.16,1781700.12,281711.52,86691632.58,87795941.75,252.25,44.99,238.31,266.20,222,385,474,722,282012,27.52
dashmap,balanced,16,1000000,compact,40,125526757.31,649000.57,102616.00,125325629.95,125727884.67,164.52,2.97,163.60,165.44,147,237,280,430,38224,28.06
dashmap,balanced,16,1000000,spread,40,117233983.00,7959586.79,1258521.17,114767281.50,119700684.50,163.26,3.11,162.30,164.22,146,235,274,422,38172,28.05
dashmap,balanced,16,100000,compact,40,143824494.27,1270879.58,200943.71,143430644.60,144218343.93,157.57,6.95,155.41,159.72,139,215,262,396,9832,50.44
dashmap,balanced,16,100000,spread,40,143319019.25,1826829.15,288847.05,142752879.03,143885159.47,156.86,8.52,154.22,159.50,138,216,258,387,9872,50.62
dashmap,balanced,1,10000000,compact,40,21163609.05,774607.18,122476.15,20923555.80,21403662.30,147.84,6.84,145.72,149.96,139,223,271,540,281896,27.50
dashmap,balanced,1,10000000,spread,40,21232712.67,78453.77,12404.63,21208399.59,21257025.75,146.77,5.94,144.92,148.61,139,222,246,538,281860,27.50
dashmap,balanced,1,1000000,compact,40,33375108.15,551006.14,87121.72,33204349.57,33545866.72,74.01,5.68,72.25,75.77,65,120,136,151,37960,27.89
dashmap,balanced,1,1000000,spread,40,33366149.62,302219.90,47785.16,33272490.70,33459808.54,72.35,2.60,71.55,73.16,65,118,136,152,38040,27.89
dashmap,balanced,1,100000,compact,40,52431103.10,880047.52,139147.73,52158373.55,52703832.65,52.64,3.21,51.64,53.64,50,66,71,80,9208,38.92
dashmap,balanced,1,100000,spread,40,52526973.19,850438.35,134466.11,52263419.62,52790526.76,52.08,2.33,51.36,52.81,50,66,71,79,9068,38.94
dashmap,balanced,2,10000000,compact,40,24351831.82,366355.87,57925.95,24238296.95,24465366.68,149.84,5.07,148.27,151.41,146,229,250,504,281864,27.50
dashmap,balanced,2,10000000,spread,40,24581989.74,154584.97,24442.03,24534083.36,24629896.12,150.49,5.61,148.75,152.23,146,229,251,506,281880,27.50
dashmap,balanced,2,1000000,compact,40,45038321.87,290072.69,45864.52,44948427.41,45128216.33,83.73,4.67,82.28,85.18,75,128,148,178,38256,27.90
dashmap,balanced,2,1000000,spread,40,44864257.81,320989.63,50752.92,44764782.09,44963733.53,82.94,1.53,82.46,83.41,75,128,148,178,38304,27.88
dashmap,balanced,2,100000,compact,40,66976731.74,246880.05,39035.16,66900222.82,67053240.66,62.91,4.58,61.49,64.32,60,75,80,94,9056,39.29
dashmap,balanced,2,100000,spread,40,66847740.41,282226.12,44623.87,66760277.63,66935203.19,65.18,7.30,62.91,67.44,60,75,80,95,9248,39.23
dashmap,balanced,4,10000000,compact,40,42313100.34,259572.29,41041.98,42232658.05,42393542.63,171.83,7.73,169.44,174.23,162,258,296,506,281988,27.51
dashmap,balanced,4,10000000,spread,40,42358394.92,269978.91,42687.41,42274727.58,42442062.25,170.00,6.56,167.97,172.04,161,258,292,502,281764,27.50
dashmap,balanced,4,1000000,compact,40,65928077.60,587222.32,92848.00,65746095.52,66110059.68,108.67,6.70,106.60,110.75,100,152,179,240,38136,27.89
dashmap,balanced,4,1000000,spread,40,65324499.22,3147306.36,497632.83,64349138.87,66299859.56,110.68,14.65,106.14,115.22,100,153,182,250,38168,27.92
dashmap,balanced,4,100000,compact,40,81554824.38,296687.80,46910.46,81462879.88,81646768.89,93.06,3.95,91.84,94.28,89,131,148,194,9176,39.22
dashmap,balanced,4,100000,spread,40,81279982.14,316581.93,50056.00,81181872.39,81378091.90,93.89,5.14,92.30,95.48,89,131,149,196,9196,39.26
dashmap,balanced,8,10000000,compact,40,71395709.13,1318771.71,208516.12,70987017.55,71804400.72,195.91,8.89,193.16,198.67,183,294,340,548,281912,27.51
dashmap,balanced,8,10000000,spread,40,70132637.16,337802.56,53411.27,70027951.06,70237323.26,196.44,11.75,192.80,200.08,182,295,340,573,281968,27.51
dashmap,balanced,8,1000000,compact,40,107537796.94,511999.33,80954.20,107379126.71,107696467.18,130.06,7.49,127.74,132.39,117,181,214,306,38088,27.98
dashmap,balanced,8,1000000,spread,40,104864597.18,1414638.65,223674.01,104426196.12,105302998.24,132.95,11.34,129.44,136.46,117,184,214,322,38052,27.96
dashmap,balanced,8,100000,compact,40,119774356.25,787157.83,124460.58,119530413.51,120018298.99,122.60,8.22,120.06,125.15,113,164,189,274,9012,39.54
dashmap,balanced,8,100000,spread,40,117989476.62,1086641.60,171813.12,117652722.89,118326230.34,125.51,10.55,122.25,128.78,114,166,192,280,9188,39.53
dashmap,insert_only,16,10000000,compact,40,41039504.29,1191737.27,188430.21,40670181.08,41408827.50,478.95,95.63,449.32,508.59,169,846,2004,3882,281876,288.64
dashmap,insert_only,16,10000000,spread,40,40710262.82,1107607.00,175128.04,40367011.85,41053513.78,483.16,128.25,443.42,522.91,171,826,1996,3742,281896,288.66
dashmap,insert_only,16,1000000,compact,40,121409480.44,1959671.09,309851.21,120802172.08,122016788.80,214.04,12.23,210.25,217.83,143,248,326,2543,38212,39.13
dashmap,insert_only,16,1000000,spread,40,121102664.45,1905233.95,301243.94,120512226.33,121693102.57,212.81,12.73,208.86,216.75,143,247,327,2496,38160,39.08
dashmap,insert_only,16,100000,compact,40,97572648.61,2373989.40,375360.68,96836941.67,98308355.55,220.40,71.13,198.36,242.45,142,238,290,489,49752,50.12
dashmap,insert_only,16,100000,spread,40,97823366.17,3035025.13,479879.61,96882802.13,98763930.20,215.21,76.83,191.40,239.02,142,238,286,491,49308,49.90
dashmap,insert_only,1,10000000,compact,40,12538920.40,114023.38,18028.68,12503584.19,12574256.61,149.45,4.84,147.95,150.95,70,174,861,1046,281832,288.39
dashmap,insert_only,1,10000000,spread,40,12297114.79,126356.44,19978.71,12257956.53,12336273.06,150.23,2.42,149.48,150.98,70,175,858,1054,281768,288.38
dashmap,insert_only,1,1000000,compact,40,47323376.70,339783.23,53724.45,47218076.78,47428676.61,60.77,1.16,60.41,61.13,54,63,66,138,38148,38.84
dashmap,insert_only,1,1000000,spread,40,47275945.84,184357.53,29149.49,47218812.85,47333078.83,62.77,10.22,59.60,65.94,54,63,66,138,38028,38.81
dashmap,insert_only,1,100000,compact,40,36280247.19,1579727.30,249776.82,35790684.63,36769809.75,38.28,1.10,37.94,38.62,36,50,54,77,41004,41.99
dashmap,insert_only,1,100000,spread,40,36330169.15,1308491.30,206890.64,35924663.50,36735674.80,38.38,1.21,38.01,38.76,35,50,53,70,41028,42.01
dashmap,insert_only,2,10000000,compact,40,14618222.63,204416.06,32321.02,14554873.43,14681571.82,183.39,8.12,180.87,185.90,73,212,1070,1372,281732,288.44
dashmap,insert_only,2,10000000,spread,40,14538848.65,223063.95,35269.51,14469720.42,14607976.89,190.64,44.28,176.92,204.36,72,206,1044,1378,281764,288.44
dashmap,insert_only,2,1000000,compact,40,56960273.59,440036.51,69575.88,56823904.87,57096642.32,74.69,4.44,73.31,76.06,61,74,79,164,38164,38.87
dashmap,insert_only,2,1000000,spread,40,56737789.70,587169.60,92839.66,56555823.95,56919755.44,74.27,4.47,72.89,75.66,61,73,78,167,38148,38.86
dashmap,insert_only,2,100000,compact,40,47963799.68,1742601.89,275529.55,47423761.76,48503837.60,82.06,41.66,69.15,94.97,45,62,68,120,42780,43.02
dashmap,insert_only,2,100000,spread,40,47709564.27,1546096.41,244459.31,47230424.03,48188704.51,81.53,31.72,71.70,91.36,46,65,71,123,42172,42.38
dashmap,insert_only,4,10000000,compact,40,24186675.71,374397.77,59197.48,24070648.64,24302702.78,247.31,27.63,238.75,255.87,133,274,1220,1756,281704,288.46
dashmap,insert_only,4,10000000,spread,40,24185747.53,279163.89,44139.69,24099233.74,24272261.32,234.57,10.52,231.31,237.83,133,270,1206,1674,281676,288.44
dashmap,insert_only,4,1000000,compact,40,71707251.52,5296134.39,837392.37,70065962.47,73348540.57,104.82,11.79,101.17,108.48,78,130,155,906,37992,38.90
dashmap,insert_only,4,1000000,spread,40,70849228.94,1121053.18,177254.07,70501810.96,71196646.92,108.13,4.46,106.75,109.51,86,135,157,590,38000,38.91
dashmap,insert_only,4,100000,compact,40,56204380.50,1467646.87,232055.35,55749552.03,56659208.98,113.78,44.76,99.90,127.65,75,128,148,209,43888,43.18
dashmap,insert_only,4,100000,spread,40,56601953.45,1654506.25,261600.41,56089216.65,57114690.25,117.35,50.24,101.77,132.92,74,127,148,218,44456,43.75
dashmap,insert_only,8,10000000,compact,40,35208899.29,868169.12,137269.59,34939850.89,35477947.69,303.42,42.28,290.32,316.52,136,408,1436,2622,281772,288.53
dashmap,insert_only,8,10000000,spread,40,35733347.65,465663.57,73627.87,35589037.01,35877658.28,311.71,38.01,299.94,323.49,140,428,1482,2626,281704,288.46
dashmap,insert_only,8,1000000,compact,40,97855869.88,1427764.34,225749.36,97413401.13,98298338.64,144.76,5.38,143.09,146.43,114,173,208,1324,38032,38.94
dashmap,insert_only,8,1000000,spread,40,97467201.73,1398226.77,221079.06,97033886.77,97900516.70,143.60,9.38,140.69,146.50,110,178,218,1391,38072,38.99
dashmap,insert_only,8,100000,compact,40,72762470.86,1859876.10,294072.23,72186089.29,73338852.44,170.09,60.90,151.21,188.96,109,175,209,324,47536,46.11
dashmap,insert_only,8,100000,spread,40,72704622.17,1597789.90,252632.77,72209461.95,73199782.39,176.22,66.67,155.56,196.88,109,174,208,332,46408,45.59
