run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,0,42,0,30418733,32874479.03,74.55,68,121,140,151,523,1000,38472,38472,28.27,1.77,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,1,43,0,30009109,33323215.29,71.33,65,101,139,156,367,1000,38040,37960,27.89,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,2,44,0,30001095,33332116.71,73.32,65,124,139,159,474,1000,38040,37960,27.90,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,3,45,0,29858303,33491521.60,69.73,64,87,134,146,423,1000,38040,37960,27.90,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,4,46,0,29984643,33350405.41,72.06,65,122,137,153,394,1000,38040,37960,27.89,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,5,47,0,29864180,33484930.78,71.69,65,121,137,146,315,1000,38040,37960,27.89,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,6,48,0,29813269,33542111.74,71.55,64,99,135,151,493,1000,38040,37960,27.89,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,7,49,0,29895933,33449365.84,72.00,65,118,136,155,444,1000,38040,37960,27.90,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,8,50,0,29969964,33366740.11,71.78,65,122,136,145,173,1000,38040,37960,27.90,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,9,51,0,29894217,33451285.91,70.77,65,91,134,150,442,1000,38040,37960,27.89,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,10,52,0,29814725,33540473.71,72.63,65,98,140,153,480,1000,38040,37960,27.88,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,11,53,0,29822605,33531611.34,70.94,64,89,134,150,512,1000,38040,37960,27.90,1.74,1,spread,0,
dashmap_balanced_1t_1000000m,dashmap,6.0.0,balanced,1,1000000,1000000,12,54,0,30199262,33113391.98,73.95,65,127,139,160,482,1000,38040,37960,27.88,1.74,1,spread,0,
