run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,0,42,0,1,42022043,23797034.33,149.08,147,227,245,511,674,1000,282160,282160,27.55,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,1,43,0,1,41609798,24032801.12,150.17,146,228,248,524,3217,1000,281864,281648,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,2,44,0,1,41472992,24112077.57,146.82,145,228,244,510,712,1000,281864,281648,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,3,45,0,1,42110809,23746872.21,145.20,146,226,241,489,622,1000,281864,281648,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,4,46,0,1,40495351,24694192.67,153.92,147,233,259,490,3392,1000,281864,281648,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,5,47,0,1,40504901,24688370.43,149.07,144,231,248,497,2698,1000,281864,281648,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,6,48,0,1,41584043,24047685.79,147.30,145,226,244,546,616,1000,281864,281656,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,7,49,0,1,40414538,24743571.24,151.11,147,227,248,510,692,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,8,50,0,1,40706832,24565900.88,149.19,145,228,254,518,641,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,9,51,0,1,41479936,24108041.05,174.45,144,226,251,515,25141,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,10,52,0,1,40594303,24633998.52,146.22,146,230,252,495,653,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,11,53,0,1,40395763,24755071.47,144.54,145,225,245,501,605,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,12,54,0,1,41903727,23864225.73,150.43,148,231,251,507,576,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,13,55,0,1,40539844,24667090.48,151.42,147,227,254,505,687,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,14,56,0,1,42861758,23330820.91,159.12,148,238,292,547,676,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,15,57,0,1,41523590,24082696.13,150.04,146,229,254,506,651,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,16,58,0,1,40618648,24619234.00,145.21,145,230,248,424,2559,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,17,59,0,1,40616518,24620525.08,145.49,145,226,247,488,721,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,18,60,0,1,41938751,23844296.17,147.39,147,228,244,472,572,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,19,61,0,1,40681376,24581272.77,147.27,145,227,250,473,679,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,20,62,0,1,40768869,24528519.54,148.64,146,230,254,492,598,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,21,63,0,1,41352715,24182209.08,146.42,145,226,248,492,632,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,22,64,0,1,40592679,24634984.06,153.48,146,233,253,548,3396,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,23,65,0,1,40569955,24648782.58,148.11,147,227,246,499,649,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,24,66,0,1,41571443,24054974.47,147.38,146,229,254,498,596,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,25,67,0,1,40602465,24629046.54,155.50,145,233,260,561,3724,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,26,68,0,1,40521420,24678305.94,151.10,145,233,268,502,650,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,27,69,0,1,41644524,24012760.96,148.39,147,229,246,503,608,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,28,70,0,1,40386039,24761031.90,144.58,145,230,246,490,643,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,29,71,0,1,40788812,24516526.74,149.47,146,230,253,509,2661,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,30,72,0,1,41663168,24002015.40,149.05,146,228,250,509,605,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,31,73,0,1,40566120,24651112.80,153.03,147,231,261,504,3373,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,32,74,0,1,40450002,24721877.64,146.25,145,228,248,507,614,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,33,75,0,1,41526352,24081094.34,150.74,146,233,255,519,584,1000,281864,281664,27.50,1.72,1,compact,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,34,76,0,1,40532546,24671531.86,149.93,146,229,252,498,639,1000,281864,281664,27.50,1.72,1,compact,0,
