run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,0,42,0,1,40902255,24448529.79,151.20,147,231,246,510,587,1000,282188,282188,27.55,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,1,43,0,1,40642890,24604549.53,142.60,143,226,248,480,807,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,2,44,0,1,40630897,24611812.04,150.85,146,232,263,510,652,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,3,45,0,1,40703015,24568204.59,151.33,147,232,250,506,594,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,4,46,0,1,40621018,24617797.61,145.83,144,228,245,527,638,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,5,47,0,1,40762646,24532264.17,151.32,147,231,260,520,699,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,6,48,0,1,40564755,24651942.31,150.40,146,228,248,489,2843,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,7,49,0,1,40818677,24498589.21,152.79,146,232,262,506,1470,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,8,50,0,1,40650065,24600206.67,146.83,144,227,251,564,634,1000,281880,281676,27.50,1.72,1,spread,0,
dashmap_balanced_2t_10000000m,dashmap,6.0.0,balanced,2,10000000,1000000,9,51,0,1,40637159,24608019.47,148.96,146,229,251,514,651,1000,281880,281676,27.50,1.72,1,spread,0,
