run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,0,42,0,1,25259332,39589328.81,86.53,48,66,73,144,21084,1000,40264,40264,41.23,2.58,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,1,43,0,1,22615569,44217326.57,52.38,50,68,74,131,264,1000,42064,42064,43.07,2.69,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,2,44,0,1,20908800,47826752.37,50.26,47,66,71,120,475,1000,41996,41996,43.00,2.69,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,3,45,0,1,21007886,47601172.25,48.38,45,62,68,116,267,1000,42000,42000,43.01,2.69,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,4,46,0,1,20377261,49074308.86,55.32,44,60,64,74,8701,1000,42428,42428,43.45,2.72,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,5,47,0,1,21390217,46750343.86,62.49,45,63,69,128,11815,1000,42976,42976,44.01,2.75,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,6,48,0,1,20559636,48638993.41,48.45,45,62,66,133,315,1000,42556,42204,43.22,2.70,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,7,49,0,1,20881968,47888206.71,58.97,44,60,64,123,11957,1000,42556,41316,42.31,2.64,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,8,50,0,1,21410508,46706037.99,47.78,45,60,65,118,318,1000,42556,42204,43.22,2.70,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,9,51,0,1,20332670,49181932.33,47.81,45,62,67,89,222,1000,42556,41116,42.10,2.63,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,10,52,0,1,20866755,47923119.81,60.78,44,63,70,115,13453,1000,42556,40704,41.68,2.61,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,11,53,0,1,20528037,48713863.87,47.20,44,61,66,94,262,1000,42836,42836,43.86,2.74,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,12,54,0,1,20333407,49180149.69,47.69,45,62,68,86,228,1000,42556,42024,43.03,2.69,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,13,55,0,1,20537708,48690925.00,60.04,45,62,67,137,11464,1000,43176,43176,44.21,2.76,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,14,56,0,1,20917764,47806256.92,160.27,45,62,67,150,52282,1000,42780,42700,43.72,2.73,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,15,57,0,1,20062484,49844276.51,60.05,45,61,66,89,13047,1000,42804,42804,43.83,2.74,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,16,58,0,1,20152287,49622159.51,78.70,44,60,66,120,18937,1000,42780,42596,43.62,2.73,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,17,59,0,1,20176873,49561693.73,80.61,44,60,66,96,19179,1000,42780,42392,43.41,2.71,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,18,60,0,1,20985018,47653044.66,80.38,45,62,68,119,19459,1000,42836,42836,43.86,2.74,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,19,61,0,1,20652346,48420649.16,60.24,45,61,68,113,12698,1000,42780,41884,42.89,2.68,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,20,62,0,1,20517364,48739204.51,198.81,45,61,67,122,138554,1000,42780,42228,43.24,2.70,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,21,63,0,1,20152863,49620741.23,64.86,44,60,66,127,13924,1000,42780,41748,42.75,2.67,1,compact,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,22,64,0,1,20807073,48060580.17,79.66,45,62,67,120,19232,1000,42780,42160,43.17,2.70,1,compact,0,
