run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,0,42,0,1,24700670,40484731.79,82.17,51,68,73,120,15375,1000,40348,40348,41.32,2.58,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,1,43,0,1,22628376,44192300.85,64.53,50,69,74,128,12000,1000,41732,41732,42.73,2.67,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,2,44,0,1,20538621,48688760.56,49.89,47,64,70,120,382,1000,41480,40440,41.41,2.59,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,3,45,0,1,20960375,47709070.09,67.72,48,66,72,152,13659,1000,41524,41524,42.52,2.66,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,4,46,0,1,21118746,47351296.33,52.25,45,61,67,123,4283,1000,42004,42004,43.01,2.69,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,5,47,0,1,20561749,48633995.09,79.16,44,61,68,128,19633,1000,42476,42476,43.50,2.72,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,6,48,0,1,20559628,48639012.34,80.39,45,63,68,101,19237,1000,42172,41120,42.11,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,7,49,0,1,21200202,47169361.88,85.64,45,62,67,125,19130,1000,42172,41120,42.11,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,8,50,0,1,20778332,48127058.51,49.38,46,65,70,87,222,1000,42172,41048,42.03,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,9,51,0,1,20972931,47680507.79,138.39,48,66,73,126,54156,1000,42172,41052,42.04,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,10,52,0,1,20766432,48154637.25,70.19,47,65,73,128,19470,1000,42172,41324,42.32,2.64,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,11,53,0,1,20990258,47641148.57,74.94,44,63,69,124,14669,1000,42172,41320,42.31,2.64,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,12,54,0,1,20708322,48289764.86,49.79,46,64,71,131,227,1000,42172,41868,42.87,2.68,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,13,55,0,1,20618239,48500747.32,102.87,45,64,71,113,54061,1000,42172,41464,42.46,2.65,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,14,56,0,1,20487999,48809061.34,62.47,47,65,72,123,12076,1000,42172,41052,42.04,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,15,57,0,1,21606290,46282818.57,124.25,47,66,74,140,53217,1000,42172,41732,42.73,2.67,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,16,58,0,1,20886584,47877623.26,67.60,46,64,69,130,15739,1000,42172,41048,42.03,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,17,59,0,1,20749453,48194041.55,66.03,46,65,69,129,15509,1000,42172,41664,42.66,2.67,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,18,60,0,1,20917250,47807431.67,67.20,46,66,73,125,13458,1000,42172,41052,42.04,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,19,61,0,1,20726237,48248024.96,208.34,46,66,73,140,120202,1000,42172,41320,42.31,2.64,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,20,62,0,1,21910607,45639995.28,136.86,49,67,72,114,53694,1000,42172,41456,42.45,2.65,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,21,63,0,1,21351008,46836196.21,83.09,46,64,72,94,21967,1000,42172,41388,42.38,2.65,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,22,64,0,1,20904456,47836690.89,134.96,46,65,72,137,52639,1000,42172,41660,42.66,2.67,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,23,65,0,1,20101799,49746791.32,83.55,46,65,70,119,19484,1000,42172,40780,41.76,2.61,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,24,66,0,1,20526186,48718256.77,100.44,48,65,72,113,49897,1000,42172,41524,42.52,2.66,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,25,67,0,1,20757496,48175367.59,51.51,47,66,72,136,1036,1000,42612,42612,43.63,2.73,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,26,68,0,1,20672208,48374126.27,68.36,46,65,70,108,19289,1000,42300,40912,41.89,2.62,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,27,69,0,1,21232140,47098408.36,80.89,46,63,69,100,19454,1000,42300,41048,42.03,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,28,70,0,1,20539802,48685961.04,84.90,47,65,73,128,19527,1000,42300,41388,42.38,2.65,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,29,71,0,1,20831154,48005021.71,64.38,46,65,71,131,14393,1000,42300,41524,42.52,2.66,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,30,72,0,1,20609134,48522174.68,117.43,47,64,71,153,52591,1000,42300,41732,42.73,2.67,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,31,73,0,1,20549996,48661809.96,102.34,45,64,69,88,53615,1000,42300,41052,42.04,2.63,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,32,74,0,1,20987861,47646589.62,63.87,46,65,72,103,14238,1000,42300,40436,41.41,2.59,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,33,75,0,1,20731535,48235695.04,64.10,47,66,72,125,13556,1000,42300,41456,42.45,2.65,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,34,76,0,1,20898632,47850021.95,63.17,46,64,71,113,13317,1000,42300,40640,41.62,2.60,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,35,77,0,1,21339200,46862112.92,60.25,44,61,67,92,13133,1000,42300,41868,42.87,2.68,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,36,78,0,1,20664355,48392509.71,62.20,46,61,68,86,13432,1000,42300,41868,42.87,2.68,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,37,79,0,1,20124090,49691687.92,60.79,44,60,66,117,13738,1000,42300,40844,41.82,2.61,1,spread,0,
dashmap_insert_only_2t_100000m,dashmap,6.0.0,insert_only,2,100000,1000000,38,80,0,1,20759980,48169603.25,60.76,44,61,66,118,13927,1000,42300,41388,42.38,2.65,1,spread,0,
