run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,0,42,0,87194698,11468587.23,158.45,87,179,872,1035,2102,1000,282164,282164,288.94,18.06,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,1,43,0,79932589,12510541.85,153.11,80,167,863,1022,4111,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,2,44,0,79045867,12650882.81,158.65,77,172,872,1031,3798,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,3,45,0,79233360,12620946.53,152.67,76,167,869,1064,4335,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,4,46,0,78851688,12682036.69,155.21,76,168,861,1040,3982,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,5,47,0,79010426,12656557.50,163.56,82,178,866,1155,3902,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,6,48,0,79040475,12651745.83,142.80,74,167,557,1011,1596,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,7,49,0,79624640,12558926.48,146.60,82,166,474,1042,3830,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,8,50,0,79274274,12614432.77,154.09,89,173,865,1025,4308,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,9,51,0,79338482,12604224.01,166.67,112,184,883,1098,3762,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,10,52,0,78892697,12675444.47,145.62,74,170,542,995,2140,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,11,53,0,79200353,12626206.35,143.45,77,164,473,1008,3942,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,12,54,0,78851532,12682061.78,150.40,74,171,780,1100,4031,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,13,55,0,78814770,12687977.14,150.64,77,170,793,1003,4094,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,14,56,0,79034456,12652709.34,157.09,75,175,873,1035,4139,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,15,57,0,79414586,12592145.23,158.32,87,173,873,1144,3810,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,16,58,0,78936724,12668374.74,149.05,80,168,511,1047,3245,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,17,59,0,79223631,12622496.44,144.00,75,161,484,1097,3778,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,18,60,0,79310970,12608596.26,152.54,76,169,808,1117,3783,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,19,61,0,78942343,12667473.02,155.75,78,168,867,1047,3928,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,20,62,0,79399007,12594615.95,154.31,76,171,840,1040,3913,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,21,63,0,79428552,12589931.14,147.40,76,168,847,1067,1393,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,22,64,0,79148245,12634518.93,153.34,116,167,544,1037,2212,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,23,65,0,79455094,12585725.47,155.92,75,171,867,1055,3958,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,24,66,0,78903155,12673764.44,145.58,77,169,478,969,3737,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,25,67,0,78914019,12672019.66,150.52,74,167,819,1060,3812,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,26,68,0,79060489,12648543.07,156.24,113,172,510,1069,4193,1000,282032,281648,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,27,69,0,79179676,12629503.56,147.97,80,166,489,1016,3880,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,28,70,0,78842714,12683480.18,158.49,77,171,855,1136,3845,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,29,71,0,79033179,12652913.78,147.26,75,165,497,1033,3403,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,30,72,0,76863840,13010018.76,148.52,73,172,841,1022,3523,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,31,73,0,78777579,12693967.15,153.73,76,170,859,1039,3633,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,32,74,0,78471919,12743412.07,149.49,79,166,502,1090,3693,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,33,75,0,78802413,12689966.74,162.19,82,177,861,1098,4212,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,34,76,0,78501741,12738570.98,153.19,75,175,862,1018,4516,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,35,77,0,79171500,12630807.80,146.64,117,168,455,1091,4003,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,36,78,0,78664766,12712171.55,147.54,73,171,858,1033,2290,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,37,79,0,78538009,12732688.45,162.75,80,175,864,1071,3639,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,38,80,0,78600635,12722543.53,158.90,78,176,820,1128,3755,1000,282032,281652,288.41,18.03,1,spread,0,
dashmap_random_keys_1t_10000000m,dashmap,6.0.0,random_keys,1,10000000,1000000,39,81,0,78863474,12680141.38,144.43,114,163,389,1138,4286,1000,282032,281652,288.41,18.03,1,spread,0,
