run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,0,42,0,27128648,36861402.01,63.61,58,68,75,143,1127,1000,38428,38428,39.35,2.46,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,1,43,0,26770658,37354330.25,61.86,55,65,74,139,1215,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,2,44,0,26866576,37220969.28,66.44,55,66,70,395,3329,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,3,45,0,26781815,37338768.86,63.51,55,64,68,145,3364,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,4,46,0,26864832,37223385.58,67.22,54,64,78,193,4104,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,5,47,0,26161471,38224150.32,62.34,51,60,65,172,3815,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,6,48,0,21936284,45586572.46,65.29,52,60,66,800,3483,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,7,49,0,22000462,45453590.93,63.96,52,61,67,397,3529,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,8,50,0,26365143,37928866.91,58.81,52,60,66,135,3584,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,9,51,0,21946691,45564955.56,89.89,52,60,68,806,25350,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,10,52,0,21973594,45509168.87,63.62,52,61,67,155,4326,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,11,53,0,26368497,37924042.47,60.30,52,60,66,144,3486,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,12,54,0,21928452,45602854.23,63.19,51,61,68,308,3264,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,13,55,0,21751124,45974635.61,64.92,52,61,73,163,3441,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,14,56,0,25967224,38510084.87,60.54,51,59,63,137,3357,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,15,57,0,22058962,45333048.76,64.42,51,60,65,769,3700,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,16,58,0,22036947,45378336.66,63.73,51,60,66,767,4031,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,17,59,0,26603689,37588771.99,62.71,54,64,70,155,3344,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,18,60,0,21928410,45602941.57,60.44,52,60,66,141,3817,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,19,61,0,22034520,45383334.88,63.51,54,63,67,150,3820,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,20,62,0,26510138,37721418.12,67.87,55,65,73,781,3957,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,21,63,0,21812544,45845179.73,62.69,52,59,65,435,3366,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,22,64,0,21913522,45633924.11,63.52,51,59,62,168,4645,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,23,65,0,26129460,38270978.43,65.00,51,60,66,784,3286,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,24,66,0,21731265,46016649.28,62.83,52,60,65,497,3523,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,25,67,0,21967951,45520859.00,63.05,52,60,65,138,3450,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,26,68,0,25849359,38685678.82,67.33,52,61,69,769,7139,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,27,69,0,21977821,45500416.08,62.22,51,60,64,175,3469,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,28,70,0,22032292,45387924.23,60.82,51,60,65,141,3155,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,29,71,0,26290680,38036292.71,66.76,52,61,72,792,4251,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,30,72,0,21896968,45668423.14,62.31,51,60,66,147,3790,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,31,73,0,21928534,45602683.70,64.03,52,60,66,163,3393,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,32,74,0,26028986,38418707.51,61.56,52,60,64,147,3668,1000,37980,37916,38.83,2.43,1,compact,0,
dashmap_random_keys_1t_1000000m,dashmap,6.0.0,random_keys,1,1000000,1000000,33,75,0,21976634,45502873.64,63.21,52,60,67,161,4010,1000,37980,37916,38.83,2.43,1,compact,0,
