run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,0,42,0,1,18152074,55090123.59,68.42,59,69,76,155,1624,1000,38504,38504,39.43,2.46,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,1,43,0,1,17778373,56248116.74,73.23,62,75,82,169,2014,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,2,44,0,1,18067213,55348879.76,79.86,62,76,85,354,4282,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,3,45,0,1,17913277,55824514.97,74.18,59,70,77,173,4126,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,4,46,0,1,17896152,55877933.98,75.40,58,70,77,192,4195,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,5,47,0,1,17813163,56138261.35,78.75,59,71,78,1009,4576,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,6,48,0,1,17764054,56293456.44,80.12,59,70,75,246,4991,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,7,49,0,1,17709976,56465350.38,77.52,59,70,82,173,4718,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,8,50,0,1,17818024,56122946.07,74.50,59,71,78,154,4880,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,9,51,0,1,18101317,55244599.05,76.90,60,73,80,186,4281,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,10,52,0,1,17751407,56333562.74,75.06,59,71,78,156,4587,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,11,53,0,1,17732139,56394775.61,74.41,59,70,78,162,4962,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,12,54,0,1,17714375,56451328.37,78.02,59,71,81,182,4711,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,13,55,0,1,17788302,56216720.40,81.06,59,70,79,188,4840,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,14,56,0,1,17695938,56510143.74,77.85,59,69,75,348,5075,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,15,57,0,1,17785796,56224641.28,78.72,59,70,76,167,5002,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,16,58,0,1,17682185,56554096.68,78.81,59,70,77,493,4666,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,17,59,0,1,17784252,56229522.61,78.80,59,71,79,257,5188,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,18,60,0,1,17800292,56178853.70,77.84,59,71,77,144,5208,1000,38088,37992,38.90,2.43,1,compact,0,
dashmap_random_keys_2t_1000000m,dashmap,6.0.0,random_keys,2,1000000,1000000,19,61,0,1,17870694,55957535.84,77.26,59,70,75,158,5216,1000,38088,37992,38.90,2.43,1,compact,0,
