run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,0,42,0,1,29037604,34438103.09,56.43,52,70,79,143,1394,1000,39940,39940,40.90,2.56,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,1,43,0,1,26966755,37082696.82,67.98,53,74,83,143,9817,1000,41148,41148,42.14,2.63,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,2,44,0,1,23711309,42173968.55,56.72,51,72,81,137,1694,1000,41216,41216,42.21,2.64,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,3,45,0,1,22515737,44413380.74,55.15,49,69,81,137,1736,1000,40924,40924,41.91,2.62,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,4,46,0,1,23092690,43303746.77,72.77,47,64,74,136,22436,1000,41536,41536,42.53,2.66,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,5,47,0,1,23675255,42238193.42,54.26,47,64,74,139,3307,1000,42584,42584,43.61,2.73,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,6,48,0,1,22834343,43793683.93,53.15,48,66,78,137,1236,1000,42224,42088,43.10,2.69,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,7,49,0,1,23321280,42879293.07,66.88,48,67,77,141,12569,1000,42224,42104,43.11,2.69,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,8,50,0,1,22821727,43817893.36,51.17,46,65,72,126,1473,1000,42224,41764,42.77,2.67,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,9,51,0,1,23876327,41882488.88,61.80,47,68,75,129,8722,1000,42260,42260,43.27,2.70,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,10,52,0,1,22378621,44685505.87,77.78,47,65,74,133,24433,1000,42224,41288,42.28,2.64,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,11,53,0,1,24534811,40758414.65,85.77,48,67,75,148,16987,1000,42224,41920,42.93,2.68,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,12,54,0,1,22605615,44236796.92,54.63,47,66,76,134,2352,1000,42224,41832,42.84,2.68,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,13,55,0,1,22773188,43911287.26,72.95,48,66,76,146,17975,1000,42224,41988,43.00,2.69,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,14,56,0,1,23193811,43114949.93,89.41,47,64,74,134,20525,1000,42224,41512,42.51,2.66,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,15,57,0,1,23700996,42192319.68,70.44,48,64,74,133,16787,1000,42224,41920,42.93,2.68,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,16,58,0,1,23629800,42319444.09,99.22,49,65,75,145,18515,1000,42224,41240,42.23,2.64,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,17,59,0,1,23289653,42937522.51,63.42,47,67,78,172,8672,1000,42224,41104,42.09,2.63,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,18,60,0,1,23525368,42507305.31,56.35,48,64,73,130,5768,1000,42224,42192,43.20,2.70,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,19,61,0,1,23047851,43387993.09,85.00,49,66,75,141,16609,1000,42224,41716,42.72,2.67,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,20,62,0,1,22250506,44942798.15,52.27,47,64,73,120,1832,1000,42224,40492,41.46,2.59,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,21,63,0,1,22919185,43631568.92,54.86,48,66,73,145,1736,1000,42224,40968,41.95,2.62,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,22,64,0,1,23320498,42880730.93,90.70,48,69,79,129,33830,1000,42224,41360,42.35,2.65,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,23,65,0,1,23611684,42351913.57,55.68,49,68,77,142,1738,1000,43144,43144,44.18,2.76,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,24,66,0,1,23524445,42508973.11,146.52,49,69,79,135,32717,1000,42888,42360,43.38,2.71,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,25,67,0,1,23567462,42431382.73,54.21,48,66,76,133,1823,1000,43024,43024,44.06,2.75,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,26,68,0,1,23866301,41900083.30,52.03,47,64,71,139,1882,1000,42904,42904,43.93,2.75,1,spread,0,
dashmap_random_keys_2t_100000m,dashmap,6.0.0,random_keys,2,100000,1000000,27,69,0,1,23530902,42497308.43,71.71,47,65,73,142,17779,1000,42972,42972,44.00,2.75,1,spread,0,
