run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,0,42,0,1,18871611,52989646.72,74.05,69,86,137,150,452,1000,38436,38436,39.36,2.46,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,1,43,0,1,18178213,55010907.84,72.17,67,84,133,153,494,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,2,44,0,1,18205226,54929282.39,71.65,66,82,137,158,388,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,3,45,0,1,18238657,54828598.40,70.52,66,82,127,157,498,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,4,46,0,1,18765378,53289627.31,73.18,68,86,134,153,440,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,5,47,0,1,18316981,54594149.55,70.22,66,81,130,147,482,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,6,48,0,1,18103599,55237635.35,71.16,66,82,133,159,375,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,7,49,0,1,18128343,55162239.59,70.67,66,81,131,152,433,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,8,50,0,1,18192067,54969014.79,71.76,66,81,132,155,477,1000,38136,37924,38.83,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,9,51,0,1,18290877,54672064.11,71.02,66,83,133,151,487,1000,38136,37932,38.84,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,10,52,0,1,18075225,55324345.89,69.38,66,80,94,145,464,1000,38136,37940,38.85,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,11,53,0,1,18321971,54579280.80,70.71,66,85,131,149,231,1000,38136,37940,38.85,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,12,54,0,1,18123974,55175537.11,71.18,66,85,134,151,290,1000,38136,37940,38.85,2.43,1,compact,0,
dashmap_read_majority_99_2t_1000000m,dashmap,6.0.0,read_majority_99,2,1000000,1000000,13,55,0,1,18133354,55146995.97,75.06,66,82,132,156,3736,1000,38136,37940,38.85,2.43,1,compact,0,
