run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,0,42,0,1,10521712,95041567.38,44.84,43,54,57,75,287,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,1,43,0,1,10536162,94911220.99,44.55,43,54,57,72,209,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,2,44,0,1,10385060,96292173.56,43.87,43,53,56,66,98,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,3,45,0,1,10444498,95744189.91,44.28,42,54,56,70,166,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,4,46,0,1,10466851,95539718.68,44.42,42,54,57,68,216,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,5,47,0,1,10469000,95520106.98,44.75,43,54,57,72,187,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,6,48,0,1,10461074,95592479.32,45.07,44,54,57,72,190,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,7,49,0,1,10469231,95517999.36,44.85,43,54,57,69,188,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,8,50,0,1,10449060,95702388.54,47.25,43,54,56,70,3164,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,9,51,0,1,10481571,95405545.60,44.36,43,54,57,72,177,1000,5292,5292,54.19,3.39,1,spread,0,
dashmap_read_majority_99_2t_100000m,dashmap,6.0.0,read_majority_99,2,100000,1000000,10,52,0,1,10468434,95525271.50,44.46,43,54,56,71,181,1000,5292,5292,54.19,3.39,1,spread,0,
