run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,0,42,0,43626606,22921792.27,183.50,147,224,461,562,592,1000,282156,282156,28.89,1.81,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,1,43,0,42654999,23443910.99,187.04,147,228,475,577,915,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,2,44,0,42395754,23587267.72,185.45,148,223,457,565,640,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,3,45,0,42820447,23353329.31,180.68,147,223,452,558,613,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,4,46,0,42572107,23489558.55,209.15,149,224,458,541,25184,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,5,47,0,42660536,23440868.16,182.18,147,223,441,556,676,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,6,48,0,42846240,23339270.84,181.84,145,222,448,571,2562,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,7,49,0,42620103,23463106.13,182.59,147,227,468,568,846,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,8,50,0,42316066,23631686.37,183.99,147,227,465,564,623,1000,281916,281644,28.84,1.80,1,compact,0,
dashmap_read_only_1t_10000000m,dashmap,6.0.0,read_only,1,10000000,1000000,9,51,0,42571403,23489947.00,187.00,146,223,462,580,2951,1000,281916,281644,28.84,1.80,1,compact,0,
