run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,0,42,0,1,16899283,59174108.16,74.58,69,85,135,159,559,1000,38496,38496,39.42,2.46,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,1,43,0,1,16186097,61781416.48,70.45,66,81,128,148,459,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,2,44,0,1,16260279,61499559.76,71.25,66,82,130,151,425,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,3,45,0,1,16103547,62098120.37,68.89,66,79,120,143,229,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,4,46,0,1,19101194,52352748.21,78.21,68,135,144,166,559,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,5,47,0,1,16347505,61171414.23,69.75,66,79,124,151,383,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,6,48,0,1,16129510,61998163.61,70.42,66,81,131,148,452,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,7,49,0,1,16174705,61824929.73,70.45,65,81,132,162,434,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,8,50,0,1,16259079,61504098.73,70.51,66,81,132,149,311,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,9,51,0,1,16225229,61632412.09,75.00,66,84,135,224,2488,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,10,52,0,1,16181051,61800682.79,69.87,66,80,124,151,393,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,11,53,0,1,16243077,61564689.99,71.95,66,81,133,158,373,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,12,54,0,1,16227979,61621967.84,69.91,66,80,128,147,481,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,13,55,0,1,16103413,62098637.10,70.09,66,81,128,145,344,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,14,56,0,1,16214930,61671558.25,71.30,66,82,136,149,467,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,15,57,0,1,16174318,61826409.00,71.09,66,81,131,155,557,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,16,58,0,1,16152523,61909832.91,72.38,66,82,133,153,486,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,17,59,0,1,16156150,61895934.37,71.32,66,82,132,156,453,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,18,60,0,1,16284268,61408962.32,70.19,66,79,133,147,319,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,19,61,0,1,16097433,62121705.99,71.00,66,82,132,153,497,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,20,62,0,1,16388412,61018724.69,72.77,67,80,130,149,2485,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,21,63,0,1,16222058,61644459.66,72.30,67,85,133,151,440,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,22,64,0,1,16137945,61965758.34,71.28,66,81,133,148,487,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,23,65,0,1,16237966,61584067.86,71.42,66,80,129,153,483,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,24,66,0,1,16153817,61904873.63,70.69,66,80,129,150,429,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,25,67,0,1,16277478,61434578.50,71.21,66,82,134,151,351,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,26,68,0,1,16207894,61698330.46,70.92,67,82,131,147,462,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,27,69,0,1,16191333,61761437.43,95.28,66,83,133,146,24703,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,28,70,0,1,16169868,61843423.83,70.98,66,81,135,149,324,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,29,71,0,1,16179892,61805109.70,71.43,66,81,131,154,387,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,30,72,0,1,16245321,61556185.93,70.93,66,80,130,150,474,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,31,73,0,1,16278579,61430423.38,73.66,66,82,136,157,2535,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,32,74,0,1,16190171,61765870.17,70.29,66,81,134,149,431,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,33,75,0,1,16119289,62037475.72,76.96,66,80,130,150,6647,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,34,76,0,1,16149045,61923166.35,70.14,66,81,131,147,285,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,35,77,0,1,16167724,61851624.88,70.64,66,81,132,149,447,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,36,78,0,1,16038381,62350433.00,70.07,66,81,125,150,413,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,37,79,0,1,16254582,61521114.48,72.91,66,80,132,150,2586,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,38,80,0,1,16197545,61737751.00,71.88,66,81,133,160,471,1000,38064,37984,38.90,2.43,1,compact,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,39,81,0,1,16309872,61312559.66,70.83,67,79,130,152,492,1000,38064,37984,38.90,2.43,1,compact,0,
