run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,0,42,0,1,16658184,60030553.15,73.31,69,83,130,153,560,1000,38444,38444,39.37,2.46,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,1,43,0,1,16497048,60616905.52,72.39,69,83,121,157,347,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,2,44,0,1,16193779,61752108.63,73.22,67,83,132,165,489,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,3,45,0,1,16151714,61912933.82,70.40,66,80,127,148,414,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,4,46,0,1,16176952,61816342.16,70.29,66,80,127,150,448,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,5,47,0,1,16158696,61886181.90,70.09,66,80,129,151,509,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,6,48,0,1,16102808,62100970.22,70.36,66,79,126,151,512,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,7,49,0,1,16271592,61456801.52,71.42,66,82,134,161,464,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,8,50,0,1,16171876,61835744.97,69.84,66,81,130,149,258,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,9,51,0,1,16374872,61069179.66,71.34,65,81,136,159,512,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,10,52,0,1,16211942,61682924.85,70.53,66,81,129,148,473,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,11,53,0,1,16394845,60994782.20,71.42,66,82,133,150,370,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,12,54,0,1,16266432,61476296.71,70.37,66,79,127,153,417,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,13,55,0,1,16144055,61942306.32,71.52,66,83,133,150,469,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,14,56,0,1,16365666,61103532.24,71.37,66,85,133,156,370,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,15,57,0,1,16490022,60642732.92,70.29,66,81,132,149,373,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,16,58,0,1,16263296,61488150.99,71.24,66,80,131,148,557,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,17,59,0,1,17571836,56909249.55,75.89,67,126,143,220,481,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,18,60,0,1,16182663,61794526.65,72.01,66,84,135,156,559,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,19,61,0,1,16225976,61629574.70,70.08,65,82,128,147,335,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,20,62,0,1,16235969,61591642.61,70.98,66,81,133,150,413,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,21,63,0,1,16272884,61451922.11,72.50,67,86,136,149,318,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,22,64,0,1,16369480,61089295.44,71.16,66,81,131,157,485,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,23,65,0,1,16408700,60943280.09,71.99,66,83,136,152,493,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,24,66,0,1,16410520,60936521.21,71.22,66,84,134,152,315,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,25,67,0,1,16267595,61471901.65,70.93,66,82,134,152,276,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,26,68,0,1,16367458,61096842.28,70.46,66,80,134,148,511,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,27,69,0,1,16168797,61847520.26,71.05,65,81,129,151,401,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,28,70,0,1,16400820,60972561.13,71.76,66,83,135,151,549,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,29,71,0,1,16369109,61090680.01,71.90,66,84,137,153,480,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,30,72,0,1,16272329,61454018.04,70.33,66,80,130,154,381,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,31,73,0,1,16420553,60899288.84,72.44,65,84,140,158,432,1000,38140,37932,38.84,2.43,1,spread,0,
dashmap_read_only_2t_1000000m,dashmap,6.0.0,read_only,2,1000000,1000000,32,74,0,1,16310902,61308687.89,72.10,66,84,136,160,458,1000,38140,37932,38.84,2.43,1,spread,0,
