run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,0,42,0,35592066,28096149.29,44.81,42,60,64,93,408,1000,40708,40708,41.68,2.61,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,1,43,0,31559997,31685681.09,46.44,39,58,61,131,3295,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,2,44,0,27391411,36507794.36,38.35,36,51,55,70,228,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,3,45,0,27282459,36653587.57,38.06,35,51,54,104,318,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,4,46,0,27404592,36490234.92,38.01,35,50,54,64,375,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,5,47,0,27299431,36630800.11,37.39,36,50,53,61,213,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,6,48,0,27468871,36404845.32,60.72,35,50,54,115,18478,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,7,49,0,27402052,36493617.34,37.98,36,51,54,71,211,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,8,50,0,27472218,36400410.04,37.70,35,50,53,62,168,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,9,51,0,27647519,36169610.73,38.39,35,49,54,91,573,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,10,52,0,27555106,36290914.65,37.89,36,50,54,109,230,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,11,53,0,27731355,36060264.64,39.48,35,50,53,61,2287,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,12,54,0,27781549,35995113.16,38.15,35,50,54,71,535,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,13,55,0,27752354,36032979.40,38.07,35,50,54,71,311,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,14,56,0,27784090,35991821.22,37.73,35,50,53,79,141,1000,41464,41464,42.46,2.65,1,compact,0,
dashmap_resize_stress_1t_10000000m,dashmap,6.0.0,resize_stress,1,10000000,1000000,15,57,0,27842793,35915937.03,40.24,36,50,54,117,2317,1000,41464,41464,42.46,2.65,1,compact,0,
