run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,0,42,0,35258075,28362297.15,64.17,38,55,59,115,22991,1000,40676,40676,41.65,2.60,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,1,43,0,31386457,31860875.54,41.52,39,57,60,85,470,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,2,44,0,27525162,36330394.71,37.70,35,50,54,114,158,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,3,45,0,27372382,36533174.20,37.18,35,50,53,62,251,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,4,46,0,27206938,36755330.57,40.90,35,50,53,104,3379,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,5,47,0,27424645,36463553.13,37.72,36,51,54,60,189,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,6,48,0,27574911,36264849.59,38.15,35,49,52,96,543,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,7,49,0,27465217,36409688.66,37.54,35,49,53,63,200,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,8,50,0,27394675,36503444.56,37.52,35,51,53,61,196,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,9,51,0,27659877,36153450.72,37.90,36,51,54,65,288,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,10,52,0,27462582,36413182.13,37.71,35,51,54,81,198,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,11,53,0,27509759,36350736.48,37.94,35,50,53,69,383,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,12,54,0,27374101,36530880.05,40.32,35,50,54,112,2360,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,13,55,0,27549640,36298114.97,38.37,35,50,54,116,426,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,14,56,0,27500703,36362706.80,37.76,35,49,53,67,225,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,15,57,0,27649041,36167619.70,37.48,35,49,53,64,262,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,16,58,0,27634777,36186288.02,37.70,35,50,54,66,198,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,17,59,0,27459042,36417876.49,38.30,36,50,54,90,470,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,18,60,0,27679249,36128147.84,37.86,35,50,54,94,175,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,19,61,0,27470532,36402644.11,39.58,35,50,53,70,2304,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,20,62,0,27773361,36005725.05,37.95,35,50,54,104,229,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,21,63,0,27436679,36447559.85,37.61,35,51,54,63,174,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,22,64,0,27201026,36763319.15,37.67,35,50,53,87,157,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,23,65,0,27308659,36618422.02,37.79,35,50,54,105,227,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,24,66,0,27700682,36100194.21,37.58,35,50,53,65,178,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,25,67,0,27506024,36355672.49,37.54,35,49,53,69,475,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,26,68,0,27689904,36114245.83,38.05,35,50,53,63,444,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,27,69,0,27489352,36377721.82,37.27,35,50,53,61,232,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,28,70,0,27653132,36162269.07,37.66,36,50,54,68,212,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,29,71,0,27705487,36093933.31,37.61,35,50,53,62,153,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,30,72,0,27794058,35978913.19,37.68,35,50,53,110,198,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,31,73,0,27689690,36114524.94,37.66,35,49,53,65,561,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,32,74,0,27573657,36266498.85,41.27,35,50,54,106,3479,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,33,75,0,27230920,36722960.52,37.64,35,49,54,62,485,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,34,76,0,27474807,36396979.97,37.57,35,49,53,109,181,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,35,77,0,27618330,36207837.33,38.02,36,50,54,62,281,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,36,78,0,27379395,36523816.54,38.10,35,50,54,82,446,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,37,79,0,27459155,36417726.62,37.87,35,50,53,103,255,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,38,80,0,27600402,36231356.34,37.64,35,50,53,63,198,1000,41432,41432,42.43,2.65,1,spread,0,
dashmap_resize_stress_1t_100000m,dashmap,6.0.0,resize_stress,1,100000,1000000,39,81,0,27582938,36254296.04,38.00,36,51,55,71,303,1000,41432,41432,42.43,2.65,1,spread,0,
