run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,0,42,0,1,25891195,38623169.00,106.50,49,67,73,136,47727,1000,40748,40748,41.73,2.61,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,1,43,0,1,23467703,42611754.55,53.90,51,70,76,143,234,1000,41448,41448,42.44,2.65,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,2,44,0,1,20805139,48065047.77,47.84,44,61,66,89,342,1000,41216,40508,41.48,2.59,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,3,45,0,1,21293945,46961706.72,79.99,46,62,68,121,19237,1000,41216,40996,41.98,2.62,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,4,46,0,1,21042141,47523681.17,65.12,44,60,65,119,18206,1000,41216,41056,42.04,2.63,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,5,47,0,1,21576768,46346144.15,223.64,46,62,67,143,120862,1000,41216,41080,42.07,2.63,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,6,48,0,1,21664210,46159079.88,51.15,45,61,67,127,2891,1000,41320,41320,42.31,2.64,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,7,49,0,1,20602989,48536646.79,48.60,46,64,70,91,290,1000,41548,41548,42.55,2.66,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,8,50,0,1,21804338,45862433.43,50.96,48,67,75,100,160,1000,41348,41080,42.07,2.63,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,9,51,0,1,21134684,47315587.97,49.91,47,65,69,117,161,1000,41676,41676,42.68,2.67,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,10,52,0,1,21706747,46068625.58,60.91,47,66,72,139,6380,1000,41508,41396,42.39,2.65,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,11,53,0,1,21371773,46790689.76,50.11,46,63,70,131,400,1000,41508,41408,42.40,2.65,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,12,54,0,1,21347886,46843045.72,74.32,46,62,68,115,18528,1000,41508,40564,41.54,2.60,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,13,55,0,1,20677821,48360995.10,48.55,46,63,68,107,147,1000,41936,41936,42.94,2.68,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,14,56,0,1,20921107,47798617.92,182.07,45,61,67,119,121201,1000,41668,41476,42.47,2.65,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,15,57,0,1,21685938,46112831.27,48.27,45,63,70,91,302,1000,41668,41404,42.40,2.65,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,16,58,0,1,20593653,48558650.57,192.34,45,61,66,86,125974,1000,41672,41672,42.67,2.67,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,17,59,0,1,21080177,47437931.85,52.58,45,61,65,110,4878,1000,41668,41176,42.16,2.64,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,18,60,0,1,21316337,46912375.24,50.74,48,66,73,113,169,1000,41704,41704,42.70,2.67,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,19,61,0,1,21098738,47396199.72,77.66,46,64,70,135,18966,1000,41668,41624,42.62,2.66,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,20,62,0,1,21020277,47573112.38,49.98,46,65,71,132,185,1000,41888,41888,42.89,2.68,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,21,63,0,1,21333933,46873682.41,53.41,47,66,73,125,2814,1000,41668,41540,42.54,2.66,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,22,64,0,1,20819983,48030778.89,57.79,46,64,71,114,8828,1000,41668,40928,41.91,2.62,1,compact,0,
dashmap_resize_stress_2t_1000000m,dashmap,6.0.0,resize_stress,2,1000000,1000000,23,65,0,1,21238700,47083861.06,50.10,46,66,73,102,186,1000,42084,42084,43.09,2.69,1,compact,0,
