run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,0,42,0,1,26022607,38428125.21,58.51,50,68,75,158,2898,1000,41020,41020,42.00,2.63,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,1,43,0,1,23754526,42097240.75,84.23,51,70,76,158,18699,1000,42256,42256,43.27,2.70,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,2,44,0,1,21548625,46406673.28,48.51,45,62,69,110,445,1000,41900,41492,42.49,2.66,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,3,45,0,1,20421386,48968272.77,61.89,44,61,67,121,13724,1000,41900,41564,42.56,2.66,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,4,46,0,1,20999069,47621158.82,47.22,44,61,66,98,189,1000,41900,41072,42.06,2.63,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,5,47,0,1,20884572,47882235.75,47.53,45,61,67,95,156,1000,41900,41396,42.39,2.65,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,6,48,0,1,20808063,48058293.56,58.15,45,62,65,81,10663,1000,41900,40808,41.79,2.61,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,7,49,0,1,21176743,47221614.77,48.53,46,62,67,120,169,1000,41900,41640,42.64,2.66,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,8,50,0,1,20523835,48723837.43,54.66,44,61,67,134,4695,1000,41900,41632,42.63,2.66,1,spread,0,
dashmap_resize_stress_2t_100000m,dashmap,6.0.0,resize_stress,2,100000,1000000,9,51,0,1,20824535,48020279.92,87.80,45,62,68,123,19274,1000,41996,41996,43.00,2.69,1,spread,0,
