run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,0,42,0,1,18134737,55142790.33,72.53,62,74,79,144,1458,1000,38444,38444,39.37,2.46,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,1,43,0,1,17918509,55808214.85,78.51,61,76,84,162,5127,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,2,44,0,1,17617407,56762042.22,70.44,60,71,76,148,2449,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,3,45,0,1,17816396,56128074.39,75.02,60,71,76,232,3592,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,4,46,0,1,17506852,57120492.02,73.16,60,71,75,163,5326,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,5,47,0,1,17266458,57915757.82,70.66,58,69,73,150,4124,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,6,48,0,1,17307568,57778192.75,70.18,58,69,73,191,3562,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,7,49,0,1,17308000,57776750.64,70.29,57,69,74,151,3880,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,8,50,0,1,17270632,57901760.63,70.16,58,69,73,149,4113,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,9,51,0,1,17675792,56574551.23,71.70,58,69,73,185,3771,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,10,52,0,1,17255711,57951828.24,74.04,59,71,76,126,4213,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,11,53,0,1,17598618,56822643.69,81.97,59,70,74,254,12024,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,12,54,0,1,17637270,56698117.11,74.75,60,73,78,170,4719,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,13,55,0,1,17315251,57752555.82,71.85,59,69,75,185,4878,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,14,56,0,1,17545025,56996214.03,72.46,59,70,76,178,4463,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,15,57,0,1,17564250,56933828.66,74.88,61,73,78,203,4888,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,16,58,0,1,17686182,56541315.70,74.78,61,74,79,158,4998,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,17,59,0,1,17668776,56597016.11,76.39,61,76,84,279,4315,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,18,60,0,1,17615019,56769737.23,71.58,61,73,78,152,2967,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,19,61,0,1,17623475,56742498.29,74.26,61,74,80,189,3167,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,20,62,0,1,17617266,56762496.52,72.41,62,76,82,205,2290,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,21,63,0,1,17561922,56941375.78,69.93,61,73,77,130,1650,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,22,64,0,1,17565596,56929465.99,69.20,60,72,76,145,1623,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,23,65,0,1,17620290,56752754.92,75.28,61,74,80,171,4411,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,24,66,0,1,17381009,57534059.16,75.60,59,70,74,174,4720,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,25,67,0,1,17755958,56319123.98,76.86,61,73,78,192,4669,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,26,68,0,1,17596148,56830619.97,74.69,62,74,79,251,2554,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,27,69,0,1,17622884,56744401.20,70.56,61,73,78,123,1410,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,28,70,0,1,17454528,57291723.96,70.56,61,73,77,133,1380,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,29,71,0,1,17636889,56699341.93,74.49,62,73,77,170,4502,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,30,72,0,1,17695254,56512328.11,76.63,62,73,77,193,4368,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,31,73,0,1,17641417,56684788.98,76.47,62,75,82,171,3346,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,32,74,0,1,17548075,56986307.61,73.19,63,74,78,134,2561,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,33,75,0,1,17450369,57305378.47,69.34,59,70,74,126,2491,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,34,76,0,1,17646225,56669344.29,77.03,61,74,80,145,5731,1000,37932,37932,38.84,2.43,1,compact,0,
dashmap_sequential_keys_2t_1000000m,dashmap,6.0.0,sequential_keys,2,1000000,1000000,35,77,0,1,17583455,56871644.40,75.66,61,74,79,189,4987,1000,37932,37932,38.84,2.43,1,compact,0,
