run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,0,42,0,1,25174679,39722452.87,50.91,49,65,69,101,227,1000,40344,40344,41.31,2.58,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,1,43,0,1,23084973,43318222.64,53.15,50,69,74,131,278,1000,42076,42076,43.09,2.69,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,2,44,0,1,20559174,48640086.42,62.98,46,66,75,130,11995,1000,41748,40784,41.76,2.61,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,3,45,0,1,21252308,47053712.94,201.34,47,67,74,140,125323,1000,41748,41668,42.67,2.67,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,4,46,0,1,21260462,47035666.49,66.33,45,62,69,138,13424,1000,42072,42072,43.08,2.69,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,5,47,0,1,20841671,47980797.70,85.90,44,61,67,91,38732,1000,41748,41212,42.20,2.64,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,6,48,0,1,21264776,47026124.33,48.40,44,61,67,124,886,1000,42028,42028,43.04,2.69,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,7,49,0,1,21558869,46384622.50,85.28,45,61,65,88,37762,1000,42168,42168,43.18,2.70,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,8,50,0,1,20850356,47960811.80,46.85,43,60,65,120,460,1000,41928,41012,42.00,2.62,1,spread,0,
dashmap_sequential_keys_2t_100000m,dashmap,6.0.0,sequential_keys,2,100000,1000000,9,51,0,1,21302348,46943182.04,60.97,45,61,67,117,13015,1000,41928,41688,42.69,2.67,1,spread,0,
