run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,0,42,0,30384155,32911891.08,59.14,57,62,66,98,789,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,1,43,0,29392854,34021874.84,56.74,54,61,66,92,494,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,2,44,0,28773939,34753670.67,55.95,54,60,65,93,359,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,3,45,0,28904717,34596429.36,57.83,54,58,64,92,2438,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,4,46,0,28803445,34718069.31,55.78,54,60,63,84,430,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,5,47,0,28853436,34657917.34,57.64,54,58,62,92,2156,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,6,48,0,28887829,34616654.65,55.35,54,58,63,92,360,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,7,49,0,28894581,34608565.53,55.21,54,57,62,82,417,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,8,50,0,28762809,34767118.89,55.21,54,57,62,82,381,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,9,51,0,28751371,34780950.10,55.51,54,58,63,93,495,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,10,52,0,28830684,34685267.96,55.53,54,58,63,91,408,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,11,53,0,28831285,34684544.93,55.59,54,59,64,92,347,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,12,54,0,28851900,34659762.44,55.57,54,57,63,90,511,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,13,55,0,28822868,34694673.69,55.06,54,57,61,75,363,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,14,56,0,28738231,34796853.01,55.44,54,58,63,82,392,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,15,57,0,28818010,34700522.35,55.44,54,58,62,92,467,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,16,58,0,28808349,34712159.31,55.60,54,59,65,83,412,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,17,59,0,28782981,34742753.02,55.36,54,58,63,78,365,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,18,60,0,28839311,34674892.20,55.38,54,58,63,76,466,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,19,61,0,28927020,34569755.20,55.45,54,58,64,91,375,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,20,62,0,28874973,34632067.02,55.29,54,58,61,84,409,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,21,63,0,28767231,34761774.60,54.94,54,57,60,78,349,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,22,64,0,28760188,34770287.32,55.25,54,57,61,79,407,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,23,65,0,28785193,34740083.21,55.15,54,58,61,74,463,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,24,66,0,28861607,34648105.35,55.65,54,59,64,91,513,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,25,67,0,28865392,34643562.09,55.21,54,57,62,79,367,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,26,68,0,28782808,34742961.84,55.44,54,59,63,79,385,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,27,69,0,28890486,34613471.02,55.03,54,57,60,77,328,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,28,70,0,28823118,34694372.76,55.31,54,57,61,83,456,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,29,71,0,28848108,34664318.37,55.28,54,57,62,83,458,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,30,72,0,28897246,34605373.81,55.21,54,57,61,83,480,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,31,73,0,28833543,34681828.73,55.37,54,58,63,80,469,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,32,74,0,28724559,34813415.24,55.38,54,58,62,92,352,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,33,75,0,28861316,34648454.70,55.32,54,57,62,84,375,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,34,76,0,28738886,34796059.94,57.33,54,57,62,88,2149,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,35,77,0,28817818,34700753.54,55.71,54,59,66,82,427,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,36,78,0,28881730,34623964.70,56.95,54,58,63,93,1535,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,37,79,0,28759233,34771441.92,55.32,54,57,60,92,422,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,38,80,0,28757485,34773555.48,55.53,54,58,62,92,386,1000,5504,5504,56.36,3.52,1,compact,0,
dashmap_zipfian_1t_100000m,dashmap,6.0.0,zipfian,1,100000,1000000,39,81,0,28919768,34578424.00,55.23,54,57,61,91,403,1000,5504,5504,56.36,3.52,1,compact,0,
