run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,0,42,0,1,26631641,37549319.62,89.53,75,102,110,171,4678,1000,38716,38716,39.65,2.48,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,1,43,0,1,26205391,38160086.98,81.16,74,100,112,167,902,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,2,44,0,1,25967677,38509413.07,81.67,74,101,119,174,961,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,3,45,0,1,26340394,37964504.25,84.75,73,100,121,178,3197,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,4,46,0,1,25820793,38728477.47,86.06,74,99,109,172,3075,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,5,47,0,1,25915148,38587470.15,81.38,74,100,114,167,743,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,6,48,0,1,25976442,38496419.18,80.70,73,99,108,163,813,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,7,49,0,1,25785612,38781317.27,80.50,74,98,108,166,932,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,8,50,0,1,25754049,38828845.90,80.06,73,97,105,166,904,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,9,51,0,1,25900851,38608770.04,82.48,75,100,115,174,894,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,10,52,0,1,25848071,38687606.51,81.09,75,98,108,163,997,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,11,53,0,1,25872523,38651043.04,80.58,74,100,112,164,867,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,12,54,0,1,25947530,38539313.76,81.37,74,102,115,176,882,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,13,55,0,1,25841177,38697927.73,82.09,74,99,113,169,1316,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,14,56,0,1,26405307,37871174.91,80.70,74,100,111,167,889,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,15,57,0,1,25990961,38474914.41,81.25,74,101,114,165,895,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,16,58,0,1,25925389,38572227.40,80.21,73,99,110,176,774,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,17,59,0,1,25832454,38710995.09,81.33,74,100,114,166,878,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,18,60,0,1,25899463,38610839.15,82.12,74,103,117,169,873,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,19,61,0,1,25828002,38717667.75,82.35,74,101,112,171,960,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,20,62,0,1,25985343,38483232.64,82.31,73,98,113,171,883,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,21,63,0,1,26204651,38161164.60,88.20,75,100,121,171,3074,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,22,64,0,1,25857469,38673545.35,82.07,74,103,117,163,962,1000,38444,38204,39.12,2.45,1,compact,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,23,65,0,1,25949641,38536178.59,80.04,73,99,109,164,844,1000,38444,38204,39.12,2.45,1,compact,0,
