run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,0,42,0,1,26702000,37450378.25,88.00,75,104,116,169,3933,1000,38636,38636,39.56,2.47,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,1,43,0,1,25991631,38473922.63,81.14,74,101,113,166,734,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,2,44,0,1,26248582,38097296.07,81.88,74,102,114,172,970,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,3,45,0,1,26160846,38225063.52,80.66,73,100,114,163,774,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,4,46,0,1,25884102,38633752.87,81.48,74,100,111,173,809,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,5,47,0,1,25930425,38564736.21,83.97,74,100,111,166,3063,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,6,48,0,1,26143586,38250299.71,81.00,74,99,110,166,956,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,7,49,0,1,25868732,38656707.26,82.07,74,100,114,175,933,1000,38332,38124,39.04,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,8,50,0,1,25885121,38632232.01,80.36,73,97,106,165,1194,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,9,51,0,1,25989959,38476397.75,81.93,75,99,112,173,988,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,10,52,0,1,26077274,38347566.54,82.61,75,102,116,169,843,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,11,53,0,1,25917122,38584531.11,81.62,75,100,113,176,832,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,12,54,0,1,26007782,38450030.07,81.82,74,100,112,171,1163,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,13,55,0,1,26056696,38377851.13,104.67,73,99,112,170,24823,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,14,56,0,1,25951873,38532864.28,80.56,74,99,109,164,916,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,15,57,0,1,26178442,38199370.31,81.76,73,100,114,168,886,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,16,58,0,1,26037816,38405678.88,82.29,74,102,118,169,761,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,17,59,0,1,26020028,38431934.05,83.07,73,102,115,171,2477,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,18,60,0,1,26004950,38454217.37,81.56,74,101,115,170,903,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,19,61,0,1,26072491,38354601.41,82.86,74,101,121,177,892,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,20,62,0,1,26029923,38417324.55,81.80,74,100,119,168,869,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,21,63,0,1,26113031,38295056.59,80.90,74,100,111,167,796,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,22,64,0,1,25885274,38632003.66,81.84,74,100,111,172,878,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,23,65,0,1,26069115,38359568.40,79.83,73,98,106,159,856,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,24,66,0,1,26056114,38378708.35,80.84,73,99,113,173,814,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,25,67,0,1,26159557,38226947.04,80.35,74,98,111,168,851,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,26,68,0,1,27134902,36852906.27,82.14,74,101,125,181,825,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,27,69,0,1,26147820,38244106.01,80.82,73,99,109,171,840,1000,38332,38132,39.05,2.44,1,spread,0,
dashmap_zipfian_2t_1000000m,dashmap,6.0.0,zipfian,2,1000000,1000000,28,70,0,1,25918126,38583036.44,81.83,73,102,118,173,926,1000,38332,38132,39.05,2.44,1,spread,0,
