run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,0,42,0,90180305,11088895.74,113.49,64,198,342,537,1800,1000,63012,44872,32.97,2.06,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,1,43,0,87834852,11385002.39,115.39,69,172,326,541,2705,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,2,44,0,88316884,11322863.25,124.63,67,199,386,801,2578,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,3,45,0,89518653,11170856.20,117.80,68,187,370,569,1629,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,4,46,0,88607525,11285723.19,117.44,64,176,357,636,2084,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,5,47,0,86661196,11539189.93,114.06,66,192,365,562,1030,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,6,48,0,87848932,11383177.66,117.01,62,202,361,664,2045,1000,72112,72112,52.97,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,7,49,0,85924162,11638169.95,116.12,65,177,283,496,2735,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,8,50,0,87395590,11442224.95,114.59,63,175,354,698,1488,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,9,51,0,89541342,11168025.60,121.53,72,219,356,568,2562,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,10,52,0,88737307,11269217.35,111.76,63,164,333,535,1608,1000,72112,72112,52.97,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,11,53,0,86950031,11500858.46,113.58,68,171,348,610,861,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,12,54,0,89251266,11204322.86,124.38,68,236,409,767,1902,1000,72112,72112,52.97,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,13,55,0,87987263,11365281.36,4894.89,61,189,331,552,4785004,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,14,56,0,86242823,11595167.75,119.67,64,169,367,825,2560,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,15,57,0,87853614,11382571.01,114.34,65,188,311,558,1244,1000,72112,72112,53.01,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,16,58,0,88832198,11257179.52,125.96,68,195,361,898,2730,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,17,59,0,89232329,11206700.66,118.41,66,185,352,590,2044,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,18,60,0,87864593,11381148.72,120.72,69,207,357,587,2432,1000,72112,72112,53.01,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,19,61,0,87098403,11481266.77,116.01,71,181,362,564,2439,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,20,62,0,88668664,11277941.44,121.13,64,222,384,547,3146,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,21,63,0,86707682,11533003.50,111.56,65,170,311,598,1266,1000,72112,72112,53.01,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,22,64,0,89888601,11124881.12,117.47,67,191,341,635,1751,1000,72112,72112,52.97,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,23,65,0,88524092,11296359.87,109.49,65,166,290,504,1910,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,24,66,0,88669514,11277833.33,119.93,68,222,367,578,1612,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,25,67,0,86616405,11545157.06,114.03,67,172,340,530,3285,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,26,68,0,88886625,11250286.53,122.62,68,201,381,711,2861,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,27,69,0,88647210,11280670.88,112.32,62,194,353,549,1851,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,28,70,0,88567680,11290800.44,118.83,65,183,339,618,4599,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,29,71,0,87732634,11398267.15,119.90,69,208,383,519,2294,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,30,72,0,88304840,11324407.59,120.13,72,180,381,637,2194,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,31,73,0,87670494,11406346.13,117.03,64,200,363,598,1881,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,32,74,0,86931265,11503341.17,109.25,64,176,320,489,1174,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,33,75,0,87655979,11408234.91,105.95,62,162,300,495,1179,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,34,76,0,86127509,11610692.24,109.91,66,171,298,511,1898,1000,72112,72112,53.00,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,35,77,0,87867345,11380792.26,118.64,67,228,361,566,2287,1000,72112,72112,52.99,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,36,78,0,85376591,11712812.47,112.11,67,170,334,609,1813,1000,72112,72112,53.01,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,37,79,0,87654311,11408452.00,118.04,67,219,364,578,2360,1000,72112,72112,52.96,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,38,80,0,87702287,11402211.21,112.67,64,168,319,613,2027,1000,72112,72112,52.98,3.31,1,compact,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,39,81,0,87743885,11396805.60,121.28,64,223,369,586,5641,1000,72112,72112,53.01,3.31,1,compact,0,
