run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,0,42,0,89310660,11196871.68,111.28,60,191,348,549,1526,1000,63172,44880,32.98,2.06,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,1,43,0,88388091,11313741.35,117.83,71,170,350,552,2718,1000,72120,72120,53.00,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,2,44,0,88349090,11318735.71,119.83,67,201,364,560,2151,1000,72120,72120,53.00,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,3,45,0,89682672,11150426.03,116.01,68,182,354,531,1881,1000,72120,72120,53.00,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,4,46,0,88869375,11252470.27,117.55,64,170,345,708,1984,1000,72120,72120,52.98,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,5,47,0,86921067,11504690.80,113.52,64,174,370,561,1526,1000,72120,72120,52.99,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,6,48,0,87788125,11391062.29,112.16,60,177,322,546,1971,1000,72120,72120,52.98,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,7,49,0,86292499,11588492.76,119.91,64,170,353,618,2733,1000,72120,72120,53.00,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,8,50,0,87733596,11398142.17,114.85,64,164,366,723,1235,1000,72120,72120,53.00,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,9,51,0,89290009,11199461.30,120.20,66,186,365,567,3129,1000,72120,72120,52.99,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,10,52,0,89096447,11223792.12,110.36,62,161,300,525,1612,1000,72120,72120,52.98,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,11,53,0,87302029,11454487.50,113.71,65,187,366,555,959,1000,72120,72120,53.01,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,12,54,0,89635261,11156323.85,122.92,63,244,409,723,1864,1000,72120,72120,52.98,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,13,55,0,88157353,11343353.29,4952.88,60,212,349,528,4843192,1000,72120,72120,53.00,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,14,56,0,86245788,11594769.13,121.88,64,206,362,613,4448,1000,72120,72120,52.99,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,15,57,0,88305493,11324323.84,116.12,64,197,348,637,1396,1000,72120,72120,53.01,3.31,1,spread,0,
libcuckoo_balanced_1t_1000000m,libcuckoo,master,balanced,1,1000000,1000000,16,58,0,89047418,11229971.88,124.63,64,176,405,792,3109,1000,72120,72120,53.01,3.31,1,spread,0,
