run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,0,42,0,1,28706288,34835573.31,74.89,71,95,105,133,476,1000,16688,12804,65.79,4.11,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,1,43,0,1,28726285,34811323.50,74.42,69,95,109,178,447,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,2,44,0,1,27519399,36338002.88,73.20,69,94,104,135,506,1000,26332,26332,135.28,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,3,45,0,1,27867863,35883626.96,78.58,70,98,110,190,2233,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,4,46,0,1,27678541,36129071.98,75.02,68,96,108,239,1724,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,5,47,0,1,27799441,35971946.34,74.67,69,97,108,213,313,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,6,48,0,1,28027119,35679728.62,77.16,69,99,115,224,1633,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,7,49,0,1,27796498,35975754.93,74.91,68,95,110,141,2450,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,8,50,0,1,28264223,35380417.14,80.82,69,100,111,159,3349,1000,26332,26332,135.30,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,9,51,0,1,27723839,36070040.66,77.69,69,96,107,180,3484,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,10,52,0,1,27967063,35756346.67,81.46,70,99,112,222,5239,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,11,53,0,1,28018116,35691193.51,77.95,70,96,111,149,2753,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,12,54,0,1,27613550,36214105.03,74.43,69,95,108,156,868,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,13,55,0,1,28212635,35445111.74,73.48,70,98,111,127,288,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,14,56,0,1,27730619,36061221.71,73.05,69,92,106,147,313,1000,26332,26332,135.30,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,15,57,0,1,27601897,36229393.94,72.28,68,91,104,160,502,1000,26332,26332,135.30,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,16,58,0,1,27488895,36378326.59,75.78,70,97,109,152,715,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,17,59,0,1,27501508,36361642.42,73.34,69,93,104,144,491,1000,26332,26332,135.29,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,18,60,0,1,27719686,36075444.72,74.75,69,96,108,140,1201,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,19,61,0,1,27350737,36562086.06,73.83,68,93,105,188,1003,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,20,62,0,1,27208136,36753712.20,75.08,69,95,106,192,1178,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,21,63,0,1,28029894,35676196.28,78.20,70,103,118,202,1219,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,22,64,0,1,27731137,36060548.11,78.53,71,102,115,191,924,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,23,65,0,1,27598301,36234114.56,74.56,69,93,107,185,866,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,24,66,0,1,28092876,35596213.08,76.60,70,102,115,183,458,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,25,67,0,1,27823550,35940776.79,79.28,70,101,113,190,2567,1000,26332,26332,135.31,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,26,68,0,1,27784811,35990887.25,75.39,70,97,114,145,668,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,27,69,0,1,27899850,35842486.61,75.51,70,100,110,160,602,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,28,70,0,1,28041133,35661897.11,81.83,71,101,111,252,3566,1000,26332,26332,135.29,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,29,71,0,1,27893061,35851210.45,78.42,70,101,112,140,3068,1000,26332,26332,135.30,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,30,72,0,1,27672246,36137290.77,74.98,69,98,111,135,1556,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,31,73,0,1,28242340,35407830.94,74.69,69,98,112,182,513,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,32,74,0,1,27864603,35887825.14,75.75,71,100,112,150,490,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,33,75,0,1,27831962,35929913.96,76.25,68,96,109,149,2127,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,34,76,0,1,27935650,35796553.87,77.07,69,102,117,180,1490,1000,26332,26332,135.26,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,35,77,0,1,28014880,35695316.20,81.76,70,105,120,231,2640,1000,26332,26332,135.25,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,36,78,0,1,28037018,35667131.22,77.54,69,102,116,207,1410,1000,26332,26332,135.28,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,37,79,0,1,27761321,36021340.63,77.69,70,100,113,232,1179,1000,26332,26332,135.30,8.46,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,38,80,0,1,27534123,36318570.96,75.07,68,95,111,226,900,1000,26332,26332,135.27,8.45,1,compact,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,39,81,0,1,28055899,35643128.03,77.53,70,101,114,176,1387,1000,26332,26332,135.29,8.46,1,compact,0,
