run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,0,42,0,1,28291562,35346227.97,75.72,71,95,105,127,1391,1000,16708,12836,65.96,4.12,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,1,43,0,1,28672007,34877223.63,78.69,71,97,107,212,3125,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,2,44,0,1,27917366,35819998.20,74.36,69,98,111,149,431,1000,26364,26364,135.44,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,3,45,0,1,27414539,36476994.93,78.20,69,98,113,194,2210,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,4,46,0,1,28151474,35522118.66,73.14,67,93,105,206,527,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,5,47,0,1,27116517,36877892.54,77.51,69,98,111,213,3420,1000,26364,26364,135.44,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,6,48,0,1,27228351,36726425.34,75.09,68,95,108,222,1527,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,7,49,0,1,27325044,36596464.40,75.83,68,92,105,124,2386,1000,26364,26364,135.44,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,8,50,0,1,27846345,35911355.69,80.31,70,99,115,188,3327,1000,26364,26364,135.46,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,9,51,0,1,27843408,35915143.72,77.89,70,100,113,186,2188,1000,26364,26364,135.44,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,10,52,0,1,28514238,35070198.97,75.98,69,94,108,232,1171,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,11,53,0,1,27531090,36322572.04,74.05,69,97,108,144,821,1000,26364,26364,135.44,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,12,54,0,1,27914271,35823969.75,74.12,69,93,108,163,878,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,13,55,0,1,27105138,36893374.24,72.53,69,95,109,139,509,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,14,56,0,1,27491263,36375193.09,72.55,69,91,104,184,278,1000,26364,26364,135.46,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,15,57,0,1,27595691,36237541.58,73.25,69,95,105,135,504,1000,26364,26364,135.47,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,16,58,0,1,27292044,36640714.78,74.65,70,93,107,184,667,1000,26364,26364,135.44,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,17,59,0,1,27513576,36345693.49,74.05,68,95,108,145,887,1000,26364,26364,135.46,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,18,60,0,1,27311051,36615214.84,72.46,68,95,107,133,305,1000,26364,26364,135.44,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,19,61,0,1,27471262,36401676.78,73.63,69,94,107,154,639,1000,26364,26364,135.44,8.47,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,20,62,0,1,27193739,36773170.47,75.27,69,96,109,177,1132,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,21,63,0,1,27455476,36422606.55,76.66,69,100,111,220,1264,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,22,64,0,1,27302342,36626894.50,77.46,70,97,110,190,1451,1000,26364,26364,135.44,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,23,65,0,1,27346840,36567296.26,76.88,69,96,110,199,2496,1000,26364,26364,135.43,8.46,1,spread,0,
libcuckoo_balanced_2t_100000m,libcuckoo,master,balanced,2,100000,1000000,24,66,0,1,27490180,36376626.13,74.74,69,99,109,189,445,1000,26364,26364,135.44,8.46,1,spread,0,
