run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,0,42,0,60377292,16562518.24,166.69,119,448,483,535,672,1000,311392,302920,310.19,19.39,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,1,43,0,59579714,16784236.33,165.71,117,448,478,528,607,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,2,44,0,59918733,16689271.45,166.67,118,458,483,528,548,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,3,45,0,59520518,16800929.05,168.04,118,452,479,527,566,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,4,46,0,59779039,16728271.59,166.15,118,457,482,529,585,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,5,47,0,59795681,16723615.87,167.03,118,456,480,530,543,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,6,48,0,60230834,16602791.85,161.66,118,436,478,526,651,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,7,49,0,59640960,16767000.40,158.81,117,435,479,525,574,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,8,50,0,59598961,16778815.99,170.57,118,461,483,532,572,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,9,51,0,60029829,16658384.95,170.56,119,455,482,530,571,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,10,52,0,59428330,16826991.44,166.05,118,451,480,529,628,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,11,53,0,59910861,16691464.34,160.76,118,429,475,527,571,1000,311596,311596,319.07,19.94,1,spread,0,
libcuckoo_insert_only_1t_10000000m,libcuckoo,master,insert_only,1,10000000,1000000,12,54,0,59327662,16855543.71,166.91,117,454,475,525,550,1000,311596,311596,319.07,19.94,1,spread,0,
