run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,0,42,0,1,58389081,17126489.80,142.20,124,167,190,503,703,1000,311164,302936,310.21,19.39,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,1,43,0,1,58083074,17216719.62,141.57,123,162,204,488,702,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,2,44,0,1,58191006,17184786.25,144.55,123,164,260,529,661,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,3,45,0,1,58070038,17220584.56,141.18,124,165,195,483,684,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,4,46,0,1,58003743,17240266.72,143.34,125,168,223,493,721,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,5,47,0,1,58084722,17216231.15,139.56,124,162,180,501,733,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,6,48,0,1,58066606,17221602.38,143.40,123,163,239,525,995,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,7,49,0,1,58097064,17212573.77,146.45,124,167,278,512,2075,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,8,50,0,1,58091558,17214205.20,141.14,123,165,195,506,663,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,9,51,0,1,58023607,17234364.63,143.90,123,166,242,532,668,1000,311600,311600,319.08,19.94,1,compact,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,10,52,0,1,58050586,17226354.96,143.57,123,163,259,492,708,1000,311600,311600,319.08,19.94,1,compact,0,
