run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,0,42,0,1,58376327,17130231.57,144.02,124,169,212,500,598,1000,311260,302920,310.19,19.39,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,1,43,0,1,58003932,17240210.54,140.49,124,163,192,479,675,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,2,44,0,1,58028341,17232958.63,142.31,123,163,222,487,673,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,3,45,0,1,57982319,17246636.86,139.99,123,159,193,486,698,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,4,46,0,1,58088360,17215152.92,145.52,124,170,280,519,604,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,5,47,0,1,58129666,17202920.11,141.88,124,166,209,521,647,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,6,48,0,1,58189786,17185146.55,138.25,124,159,179,474,632,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,7,49,0,1,58201888,17181573.22,142.00,123,166,205,487,717,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,8,50,0,1,58165469,17192331.07,146.75,124,163,217,527,2439,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,9,51,0,1,58117291,17206583.15,142.81,123,167,238,522,581,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,10,52,0,1,58211156,17178837.68,140.44,123,164,185,495,672,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,11,53,0,1,58000329,17241281.51,144.00,123,165,204,497,2105,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,12,54,0,1,58124463,17204460.02,143.88,124,167,225,498,997,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,13,55,0,1,58023967,17234257.70,139.00,123,162,184,491,601,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,14,56,0,1,58103631,17210628.37,146.19,124,166,361,508,619,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,15,57,0,1,58123005,17204891.59,139.43,124,160,183,487,723,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,16,58,0,1,58148798,17197260.04,144.78,124,167,316,482,612,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,17,59,0,1,58081886,17217071.77,142.05,124,161,211,521,595,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,18,60,0,1,58398733,17123659.17,144.62,124,162,198,486,3918,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,19,61,0,1,58123728,17204677.58,146.47,124,169,341,488,661,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,20,62,0,1,58086464,17215714.84,138.67,123,162,184,475,1065,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,21,63,0,1,58091211,17214308.03,141.53,124,162,194,486,625,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,22,64,0,1,58065134,17222038.96,140.70,123,166,190,486,749,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,23,65,0,1,58039684,17229590.71,144.77,124,166,248,484,2143,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,24,66,0,1,58059398,17223740.42,140.81,123,165,198,478,605,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,25,67,0,1,58036244,17230611.96,141.10,124,164,201,489,684,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,26,68,0,1,58040194,17229439.31,142.43,124,166,198,496,687,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,27,69,0,1,58059197,17223800.05,141.93,123,165,220,518,639,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,28,70,0,1,58093656,17213583.53,144.42,124,164,264,499,645,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,29,71,0,1,58087484,17215412.53,141.20,124,165,207,485,662,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,30,72,0,1,58111543,17208285.11,144.17,124,164,277,508,715,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,31,73,0,1,58086749,17215630.37,143.35,124,167,211,498,758,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,32,74,0,1,58041205,17229139.20,138.76,123,160,188,487,675,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,33,75,0,1,58141491,17199421.32,141.93,123,164,232,486,714,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,34,76,0,1,57971230,17249935.87,142.55,123,161,184,495,2702,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,35,77,0,1,58189911,17185109.63,146.55,123,166,272,483,3363,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,36,78,0,1,58706876,17033779.83,143.24,124,167,220,485,643,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,37,79,0,1,58091192,17214313.66,143.94,123,166,262,519,712,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,38,80,0,1,58156305,17195040.16,141.07,124,163,201,484,631,1000,311584,311584,319.06,19.94,1,spread,0,
libcuckoo_insert_only_2t_10000000m,libcuckoo,master,insert_only,2,10000000,1000000,39,81,0,1,58041372,17229089.62,138.66,123,161,184,484,617,1000,311584,311584,319.06,19.94,1,spread,0,
