run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,0,42,0,1,49735420,20106395.00,133.85,108,235,318,562,1886,1000,34796,26484,27.12,1.69,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,1,43,0,1,47860699,20893969.81,126.05,98,220,285,589,1613,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,2,44,0,1,47410675,21092296.20,126.64,97,208,286,651,1730,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,3,45,0,1,47442538,21078130.35,130.29,99,219,306,700,1908,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,4,46,0,1,47443857,21077544.35,125.60,100,209,291,636,1576,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,5,47,0,1,47528618,21039955.34,121.98,99,218,283,545,1020,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,6,48,0,1,47508574,21048832.15,126.35,92,213,293,673,1821,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,7,49,0,1,47212599,21180786.93,128.04,101,219,294,714,1793,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,8,50,0,1,47557426,21027210.35,126.69,100,203,301,596,2885,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,9,51,0,1,47438608,21079876.54,123.09,100,209,297,536,827,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,10,52,0,1,47520951,21043349.91,127.75,100,210,292,569,3239,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,11,53,0,1,47380771,21105608.43,124.92,99,207,298,648,1118,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,12,54,0,1,47481468,21060848.41,126.47,97,214,289,582,1790,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,13,55,0,1,46985954,21282956.18,131.23,98,223,304,686,2684,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,14,56,0,1,47488210,21057858.36,129.39,96,224,321,699,1789,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,15,57,0,1,47254274,21162106.95,137.23,97,224,315,806,2643,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,16,58,0,1,47440134,21079198.47,129.62,100,218,314,661,2240,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,17,59,0,1,47573393,21020153.01,125.84,101,211,294,557,3654,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,18,60,0,1,47548703,21031067.87,121.11,96,194,263,525,1576,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,19,61,0,1,47640839,20990394.40,118.85,98,200,273,497,1477,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,20,62,0,1,47766765,20935058.09,125.17,100,212,284,568,3434,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,21,63,0,1,50574736,19772718.14,129.78,101,227,313,657,2184,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,22,64,0,1,47409549,21092797.15,125.23,99,208,286,616,2036,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,23,65,0,1,47279907,21150633.82,127.48,101,222,294,667,1610,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,24,66,0,1,47587010,21014138.10,124.49,98,212,272,596,2935,1000,35144,35144,35.99,2.25,1,compact,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,25,67,0,1,47504474,21050648.83,130.52,104,223,282,581,4202,1000,35144,35144,35.99,2.25,1,compact,0,
