run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,0,42,0,1,49071886,20378267.10,134.72,96,231,309,584,3770,1000,34912,26484,27.12,1.69,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,1,43,0,1,47104520,21229385.21,124.13,95,218,276,561,1542,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,2,44,0,1,46672326,21425973.07,124.53,94,205,295,773,1697,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,3,45,0,1,46894129,21324631.06,127.31,92,202,316,665,1806,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,4,46,0,1,47327341,21129435.52,119.03,90,198,278,644,1191,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,5,47,0,1,47292491,21145005.87,119.69,93,217,285,573,986,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,6,48,0,1,47084132,21238577.79,126.01,93,209,301,729,1877,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,7,49,0,1,46945824,21301149.17,122.89,92,212,293,632,1857,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,8,50,0,1,47229666,21173133.01,122.31,91,199,297,618,2538,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,9,51,0,1,46871278,21335027.39,118.09,94,197,291,550,823,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,10,52,0,1,46980064,21285624.47,127.91,95,202,274,624,3470,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,11,53,0,1,46805919,21364819.27,122.09,93,206,305,669,1155,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,12,54,0,1,47174395,21197940.11,125.35,95,207,291,595,1845,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,13,55,0,1,46763272,21384303.48,125.72,90,211,300,649,2635,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,14,56,0,1,47267841,21156032.91,125.53,92,209,308,690,1869,1000,35144,35144,35.99,2.25,1,spread,0,
libcuckoo_random_keys_2t_1000000m,libcuckoo,master,random_keys,2,1000000,1000000,15,57,0,1,47058778,21250020.56,135.50,97,223,298,757,3021,1000,35144,35144,35.99,2.25,1,spread,0,
