run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,0,42,0,1,21233421,47095566.94,60.04,55,69,83,155,633,1000,311364,302940,31.02,1.94,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,1,43,0,1,21392081,46746270.27,60.95,55,69,82,157,769,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,2,44,0,1,21506827,46496863.53,59.36,55,69,74,158,429,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,3,45,0,1,21371585,46791101.36,59.76,55,70,81,152,465,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,4,46,0,1,21336405,46868251.70,62.43,56,71,130,162,530,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,5,47,0,1,21524602,46458466.46,62.29,56,70,138,199,490,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,6,48,0,1,21403169,46722053.17,62.60,56,70,134,199,401,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,7,49,0,1,21396201,46737268.92,59.93,55,68,128,153,283,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,8,50,0,1,21569592,46361563.07,60.04,56,69,78,155,395,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,9,51,0,1,21369776,46795062.33,60.89,56,68,81,159,483,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,10,52,0,1,21392510,46745332.83,60.41,55,70,130,154,293,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,11,53,0,1,21387069,46757225.13,60.89,55,69,125,162,410,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,12,54,0,1,21414056,46698299.47,61.77,55,70,131,159,470,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,13,55,0,1,21365985,46803365.26,60.67,55,70,127,152,291,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,14,56,0,1,21493981,46524652.65,61.05,55,69,123,206,509,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,15,57,0,1,21422260,46680415.61,60.44,55,70,83,154,367,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,16,58,0,1,21419469,46686498.16,60.85,56,70,83,154,572,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,17,59,0,1,21367268,46800554.94,59.57,55,68,79,165,317,1000,311604,311604,31.91,1.99,1,compact,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,18,60,0,1,21326461,46890105.21,61.28,56,71,130,163,327,1000,311604,311604,31.91,1.99,1,compact,0,
