run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,0,42,0,1,21385558,46760528.76,60.50,55,68,121,155,640,1000,311388,302936,31.02,1.94,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,1,43,0,1,21396433,46736762.15,60.61,56,70,82,154,778,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,2,44,0,1,21372365,46789393.69,59.92,55,69,77,157,484,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,3,45,0,1,21373483,46786946.24,59.08,55,68,76,156,327,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,4,46,0,1,21360781,46814767.68,61.73,56,71,131,157,452,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,5,47,0,1,21341034,46858085.70,61.79,55,72,137,198,313,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,6,48,0,1,21366568,46802088.20,62.02,56,70,139,169,419,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,7,49,0,1,21314464,46916497.64,61.93,55,69,130,184,572,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,8,50,0,1,21355363,46826644.90,60.06,55,68,78,160,512,1000,311600,311600,31.91,1.99,1,spread,0,
libcuckoo_read_majority_95_2t_10000000m,libcuckoo,master,read_majority_95,2,10000000,1000000,9,51,0,1,21267413,47020293.44,60.66,56,70,81,156,491,1000,311600,311600,31.91,1.99,1,spread,0,
