run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,0,42,0,1,13238982,75534508.62,56.60,55,67,72,81,217,1000,34784,26444,27.08,1.69,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,1,43,0,1,13207026,75717273.52,55.57,55,66,69,79,225,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,2,44,0,1,13266948,75375286.01,55.82,55,66,71,78,189,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,3,45,0,1,13198899,75763895.16,55.92,55,68,71,80,207,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,4,46,0,1,13212054,75688458.43,55.73,55,66,71,80,233,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,5,47,0,1,13203597,75736937.44,55.69,55,66,70,78,203,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,6,48,0,1,13210514,75697281.73,55.50,55,66,69,80,214,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,7,49,0,1,13202091,75745576.97,55.82,55,66,69,79,184,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,8,50,0,1,13215408,75669249.11,55.72,55,66,69,78,208,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,9,51,0,1,13216922,75660581.19,55.29,54,65,68,79,216,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,10,52,0,1,13203149,75739507.29,56.00,55,66,71,83,206,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,11,53,0,1,13218795,75649860.67,55.42,55,66,69,77,202,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,12,54,0,1,13217870,75655154.73,55.77,55,66,69,79,214,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,13,55,0,1,13234654,75559209.93,64.97,55,65,68,77,3950,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,14,56,0,1,13215942,75666191.63,55.88,55,66,70,78,186,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,15,57,0,1,13213998,75677323.40,55.40,55,65,69,82,184,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,16,58,0,1,13223350,75623801.84,58.49,55,66,69,81,2691,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,17,59,0,1,13205100,75728317.09,55.78,55,66,69,80,234,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,18,60,0,1,13234594,75559552.49,55.82,55,66,71,82,240,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,19,61,0,1,13212755,75684442.80,55.40,55,65,68,79,196,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,20,62,0,1,13219755,75644367.09,55.60,55,66,70,82,211,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,21,63,0,1,13213047,75682770.22,55.54,54,66,69,78,209,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,22,64,0,1,13214565,75674076.29,55.39,54,66,70,79,249,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,23,65,0,1,13220820,75638273.57,55.93,55,66,71,80,198,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,24,66,0,1,13208674,75707826.54,54.98,54,65,68,78,221,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,25,67,0,1,13199661,75759521.40,55.57,55,66,71,83,201,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,26,68,0,1,13212026,75688618.84,56.09,55,67,71,78,211,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,27,69,0,1,13205997,75723173.34,55.70,55,67,71,80,199,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,28,70,0,1,13231758,75575747.38,55.59,55,66,70,78,190,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,29,71,0,1,13200369,75755458.05,56.32,56,66,69,78,224,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,30,72,0,1,13227503,75600058.45,55.59,55,66,69,78,239,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,31,73,0,1,13238658,75536357.24,56.13,56,66,71,79,213,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,32,74,0,1,13203155,75739472.88,55.54,55,66,69,77,203,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,33,75,0,1,13209348,75703963.59,56.33,55,67,72,83,250,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,34,76,0,1,13202303,75744360.66,55.94,55,67,71,80,216,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,35,77,0,1,13217714,75656047.63,56.11,55,66,71,78,246,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,36,78,0,1,13203184,75739306.52,55.48,55,66,70,77,210,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,37,79,0,1,13201442,75749300.72,55.78,55,66,70,77,184,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,38,80,0,1,13207592,75714028.72,58.41,55,66,69,78,2280,1000,35104,35104,35.95,2.25,1,spread,0,
libcuckoo_read_only_2t_1000000m,libcuckoo,master,read_only,2,1000000,1000000,39,81,0,1,13212195,75687650.69,56.66,55,67,71,82,287,1000,35104,35104,35.95,2.25,1,spread,0,
