run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,0,42,0,1,12215490,81863273.60,50.98,49,62,66,77,429,1000,16420,10308,105.55,6.60,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,1,43,0,1,12431909,80438169.23,51.55,51,63,67,74,129,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,2,44,0,1,12343855,81011969.11,51.71,51,64,68,76,135,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,3,45,0,1,12342130,81023291.77,51.30,51,63,66,74,144,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,4,46,0,1,12339132,81042977.74,51.39,51,62,66,76,134,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,5,47,0,1,12340066,81036843.73,51.38,51,61,65,76,131,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,6,48,0,1,12417228,80533272.00,51.53,51,63,66,75,135,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,7,49,0,1,12396210,80669817.63,52.09,52,64,68,76,117,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,8,50,0,1,12362894,80887209.74,51.95,51,64,67,75,126,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,9,51,0,1,12347344,80989077.49,51.20,51,63,66,77,111,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,10,52,0,1,12372548,80824095.41,54.60,51,63,67,76,2680,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,11,53,0,1,12350205,80970315.88,62.18,52,64,67,76,9980,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,12,54,0,1,12358716,80914554.55,51.26,51,62,66,74,128,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,13,55,0,1,12365606,80869469.72,51.55,51,63,67,74,127,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,14,56,0,1,12351929,80959014.58,51.60,51,64,67,77,129,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,15,57,0,1,12357664,80921442.76,52.07,51,63,66,76,139,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,16,58,0,1,12353229,80950494.81,52.56,52,64,68,76,135,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,17,59,0,1,12370800,80835515.89,51.66,51,62,67,77,140,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,18,60,0,1,12340011,81037204.91,51.83,51,63,67,77,126,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,19,61,0,1,12354020,80945311.73,51.63,51,64,67,76,141,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,20,62,0,1,12354826,80940031.05,51.66,51,63,68,77,120,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,21,63,0,1,12349084,80977666.04,51.71,51,63,67,78,128,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,22,64,0,1,12350451,80968703.09,51.52,51,63,66,74,133,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,23,65,0,1,12345985,80997992.46,51.39,50,63,67,74,146,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,24,66,0,1,12351728,80960332.03,51.68,51,63,67,76,119,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,25,67,0,1,12351222,80963648.78,52.01,51,64,69,74,127,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,26,68,0,1,12346334,80995702.85,51.85,51,64,67,76,198,1000,16920,16920,173.26,10.83,1,compact,0,
libcuckoo_read_only_2t_100000m,libcuckoo,master,read_only,2,100000,1000000,27,69,0,1,12341390,81028149.99,51.52,51,64,68,78,136,1000,16920,16920,173.26,10.83,1,compact,0,
