run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,0,42,0,1,65056058,15371358.65,126.26,88,197,288,598,4090,1000,43740,34736,35.57,2.22,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,1,43,0,1,62046465,16116953.64,122.09,88,198,275,563,1937,1000,43740,40468,41.44,2.59,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,2,44,0,1,61367107,16295374.65,127.74,87,199,291,528,3218,1000,43740,40468,41.44,2.59,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,3,45,0,1,60379536,16561902.69,117.73,86,196,280,486,1556,1000,49684,49684,50.88,3.18,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,4,46,0,1,60680428,16479778.29,123.17,87,197,272,529,3601,1000,49684,49684,50.88,3.18,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,5,47,0,1,60340432,16572635.74,119.53,86,191,307,558,1727,1000,49684,49684,50.88,3.18,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,6,48,0,1,61447614,16274024.90,120.22,87,193,279,546,1773,1000,63508,63508,65.03,4.06,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,7,49,0,1,63217088,15818507.81,125.70,85,199,316,575,3011,1000,77332,77332,79.19,4.95,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,8,50,0,1,59623035,16772041.21,123.01,87,204,288,572,3727,1000,77332,77332,79.19,4.95,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,9,51,0,1,62300882,16051137.13,130.44,88,199,275,632,4500,1000,77332,77332,79.19,4.95,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,10,52,0,1,61416650,16282229.66,126.35,86,200,274,593,5840,1000,77332,77332,79.19,4.95,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,11,53,0,1,59540285,16795351.25,121.73,86,198,262,498,5084,1000,77332,77332,79.19,4.95,1,spread,0,
libcuckoo_resize_stress_2t_10000000m,libcuckoo,master,resize_stress,2,10000000,1000000,12,54,0,1,61498931,16260445.24,131.07,88,216,293,548,4933,1000,77332,77332,79.19,4.95,1,spread,0,
