run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,0,42,0,1,63274891,15804057.25,116.20,85,195,267,481,1701,1000,42180,33540,34.34,2.15,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,1,43,0,1,62557055,15985407.24,117.82,86,185,303,490,1088,1000,42180,40512,41.48,2.59,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,2,44,0,1,61453491,16272468.56,119.68,85,199,281,533,1844,1000,49728,49728,50.92,3.18,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,3,45,0,1,60126074,16631719.54,110.73,82,188,263,464,1770,1000,65856,65856,67.44,4.21,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,4,46,0,1,59430712,16826317.01,117.21,83,185,275,589,1980,1000,65856,65856,67.44,4.21,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,5,47,0,1,57749840,17316065.29,110.05,83,186,252,442,1080,1000,65856,65856,67.44,4.21,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,6,48,0,1,56636021,17656607.62,110.98,82,183,253,451,2231,1000,65856,65856,67.44,4.21,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,7,49,0,1,55747194,17938122.59,123.46,83,182,245,688,3339,1000,65856,65856,67.44,4.21,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,8,50,0,1,57524161,17383999.74,112.52,82,179,244,473,3124,1000,65856,65856,67.44,4.21,1,compact,0,
libcuckoo_resize_stress_2t_1000000m,libcuckoo,master,resize_stress,2,1000000,1000000,9,51,0,1,59176968,16898466.31,117.53,84,192,289,530,1994,1000,75072,75072,76.87,4.80,1,compact,0,
