run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,0,42,0,1,28915557,34583459.69,77.65,64,121,132,189,779,1000,34884,26456,27.09,1.69,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,1,43,0,1,26261477,38078589.41,71.64,61,118,131,166,527,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,2,44,0,1,26327653,37982876.79,71.64,61,117,129,165,485,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,3,45,0,1,26386890,37897607.49,72.25,61,116,128,194,517,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,4,46,0,1,27484623,36383980.96,73.48,62,119,132,169,665,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,5,47,0,1,26525411,37699698.60,71.40,60,117,130,164,522,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,6,48,0,1,26481277,37762529.35,71.66,61,116,127,177,562,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,7,49,0,1,26607545,37583324.58,72.17,61,116,129,188,510,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,8,50,0,1,26853439,37239178.19,73.37,62,117,131,201,559,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,9,51,0,1,26717601,37428510.14,71.12,60,118,127,155,553,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,10,52,0,1,26894672,37182085.73,74.16,61,119,130,189,691,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,11,53,0,1,26656115,37514844.15,71.93,61,115,128,195,580,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,12,54,0,1,26672313,37492061.52,73.09,62,120,129,167,447,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,13,55,0,1,26750366,37382666.09,72.30,62,117,126,154,603,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,14,56,0,1,26678047,37484003.23,71.89,61,117,130,158,537,1000,35116,35116,35.96,2.25,1,compact,0,
libcuckoo_sequential_keys_2t_1000000m,libcuckoo,master,sequential_keys,2,1000000,1000000,15,57,0,1,26669220,37496409.72,72.55,61,116,130,164,741,1000,35116,35116,35.96,2.25,1,compact,0,
