run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,0,42,0,1,44443525,22500465.48,94.67,74,151,203,391,925,1000,40112,31276,32.03,2.00,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,1,43,0,1,43729050,22868093.41,98.03,75,150,222,441,1956,1000,49408,49408,50.59,3.16,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,2,44,0,1,42838580,23343444.16,99.72,76,164,228,389,1204,1000,63232,63232,64.75,4.05,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,3,45,0,1,43111314,23195767.13,100.75,76,153,234,445,1240,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,4,46,0,1,41055531,24357254.08,97.00,74,150,217,417,1296,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,5,47,0,1,41316200,24203581.16,96.62,73,149,218,407,1193,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,6,48,0,1,41413728,24146582.51,96.93,76,151,220,405,1327,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,7,49,0,1,41483301,24106085.48,101.46,75,153,219,477,2091,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,8,50,0,1,41219432,24260402.23,99.47,75,159,220,427,1204,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,9,51,0,1,41590158,24044150.06,100.56,77,158,222,408,1619,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,10,52,0,1,41509673,24090770.36,97.78,75,152,221,490,1252,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,11,53,0,1,40813818,24501505.84,96.44,74,150,211,413,811,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,12,54,0,1,40627838,24613665.14,96.44,75,148,220,392,1274,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,13,55,0,1,41202799,24270195.82,105.64,74,157,221,476,7131,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,14,56,0,1,40871352,24467015.43,98.89,76,153,237,427,1371,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,15,57,0,1,41313370,24205239.13,95.96,75,148,211,363,1313,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,16,58,0,1,41425741,24139580.27,100.83,76,155,239,430,1380,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,17,59,0,1,41135784,24309734.80,97.77,75,156,220,429,1157,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,18,60,0,1,41710601,23974720.48,99.50,77,157,230,382,1252,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,19,61,0,1,41409595,24148992.52,95.56,73,146,203,376,1171,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,20,62,0,1,41540569,24072852.73,99.19,75,155,221,431,1281,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,21,63,0,1,41092612,24335274.67,100.86,74,157,222,439,2860,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,22,64,0,1,41213574,24263850.55,97.53,75,153,236,438,1328,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,23,65,0,1,41830203,23906171.34,99.34,75,152,207,396,2157,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,24,66,0,1,41203818,24269595.60,98.45,74,159,231,426,1192,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,25,67,0,1,41439267,24131700.98,101.25,76,159,236,456,1331,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,26,68,0,1,41633100,24019349.99,98.26,74,150,234,448,1219,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,27,69,0,1,41401799,24153539.80,99.95,74,151,216,396,1874,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,28,70,0,1,40803300,24507821.67,99.00,75,151,230,432,1353,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,29,71,0,1,41500713,24095971.56,96.80,75,151,208,402,1324,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,30,72,0,1,41013730,24382078.88,98.60,75,159,225,375,1442,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,31,73,0,1,41459825,24119735.19,103.22,76,157,228,453,3439,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,32,74,0,1,41292046,24217739.17,100.50,76,162,226,447,1352,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,33,75,0,1,41230969,24253613.83,97.96,74,159,225,414,1381,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,34,76,0,1,41373651,24169972.33,99.19,77,163,223,380,1311,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,35,77,0,1,41349481,24184100.40,100.90,76,163,236,425,1289,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,36,78,0,1,41314518,24204566.54,97.74,74,151,212,408,1178,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,37,79,0,1,41250049,24242395.45,99.86,76,160,228,427,1325,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,38,80,0,1,41247935,24243637.89,97.75,75,150,221,441,1337,1000,81664,81664,83.62,5.23,1,spread,0,
libcuckoo_sequential_keys_2t_100000m,libcuckoo,master,sequential_keys,2,100000,1000000,39,81,0,1,41621424,24026088.10,98.61,75,151,219,401,1182,1000,81664,81664,83.62,5.23,1,spread,0,
