run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,0,42,0,46517124,21497459.73,75.39,70,85,89,103,3686,1000,34908,26636,27.28,1.70,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,1,43,0,46335107,21581907.65,72.47,70,84,87,104,960,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,2,44,0,46285301,21605131.18,73.03,70,86,90,108,1132,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,3,45,0,46394058,21554484.41,72.75,70,85,88,108,1389,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,4,46,0,46380489,21560790.36,72.82,70,86,90,105,1061,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,5,47,0,46606045,21456444.12,73.03,69,86,90,100,1491,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,6,48,0,46283700,21605878.53,72.20,70,84,87,95,837,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,7,49,0,46234853,21628705.08,72.52,70,85,88,100,880,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,8,50,0,46340061,21579600.42,72.18,70,85,88,103,912,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,9,51,0,46390472,21556150.58,72.99,71,87,89,105,1003,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,10,52,0,46441063,21532668.19,73.02,70,85,88,106,904,1000,35308,35308,36.16,2.26,1,compact,0,
libcuckoo_zipfian_1t_1000000m,libcuckoo,master,zipfian,1,1000000,1000000,11,53,0,46381066,21560522.13,72.06,70,85,88,100,889,1000,35308,35308,36.16,2.26,1,compact,0,
