run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,0,42,0,46849697,21344855.23,71.38,67,84,88,103,1601,1000,16544,10464,107.15,6.70,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,1,43,0,46767101,21382552.66,69.15,67,82,86,102,561,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,2,44,0,47051202,21253442.15,70.45,68,83,89,109,587,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,3,45,0,46852899,21343396.49,69.99,67,83,88,104,437,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,4,46,0,46776801,21378118.61,69.84,67,83,87,102,489,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,5,47,0,46913084,21316014.95,70.13,67,82,86,103,593,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,6,48,0,46740796,21394586.43,69.64,67,82,87,102,422,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,7,49,0,46657688,21432695.08,69.77,67,82,86,100,523,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,8,50,0,46819782,21358493.30,70.99,67,82,87,102,1715,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,9,51,0,46787209,21373362.96,69.71,67,82,86,102,448,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,10,52,0,46741732,21394158.01,69.42,67,82,86,103,443,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,11,53,0,46734674,21397389.01,69.28,67,81,87,98,486,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,12,54,0,46839989,21349279.14,70.00,67,83,87,103,501,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,13,55,0,46792536,21370929.76,69.42,67,81,86,103,471,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,14,56,0,46787526,21373218.15,69.87,67,83,86,102,430,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,15,57,0,46973684,21288515.50,69.73,68,82,87,104,454,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,16,58,0,46733008,21398151.82,69.80,67,82,86,98,471,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,17,59,0,46828484,21354524.31,69.23,67,82,86,97,596,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,18,60,0,46908929,21317903.04,69.16,67,80,84,94,559,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,19,61,0,46817885,21359358.72,70.32,67,84,89,104,494,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,20,62,0,46773732,21379521.31,69.60,67,82,88,103,457,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,21,63,0,46689737,21417983.14,68.90,66,83,86,99,426,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,22,64,0,46811125,21362443.22,69.46,67,82,87,98,497,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,23,65,0,46903154,21320527.83,69.44,68,82,86,98,429,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,24,66,0,46694323,21415879.61,69.85,68,83,87,101,460,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,25,67,0,46750518,21390137.32,70.09,67,83,87,99,589,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,26,68,0,46821790,21357577.32,69.84,67,81,85,96,432,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,27,69,0,46820862,21358000.63,69.02,67,82,85,95,406,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,28,70,0,46646575,21437801.17,69.27,67,81,86,98,480,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,29,71,0,46981966,21284762.75,69.87,67,82,87,100,419,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,30,72,0,47198212,21187243.28,71.54,67,83,87,103,1802,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,31,73,0,46745509,21392429.38,69.37,67,82,87,98,429,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,32,74,0,46922672,21311659.32,69.73,67,82,87,106,573,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,33,75,0,46926748,21309808.21,69.84,67,83,88,99,543,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,34,76,0,46779038,21377096.30,69.77,67,83,87,101,426,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,35,77,0,47067946,21245881.43,69.55,67,83,87,98,468,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,36,78,0,46755478,21387868.18,70.16,68,83,89,105,498,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,37,79,0,46823022,21357015.36,69.45,67,82,86,98,489,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,38,80,0,46923277,21311384.54,71.82,68,83,88,102,1878,1000,17088,17088,174.98,10.94,1,spread,0,
libcuckoo_zipfian_1t_100000m,libcuckoo,master,zipfian,1,100000,1000000,39,81,0,46793128,21370659.38,71.44,67,83,87,103,1835,1000,17088,17088,174.98,10.94,1,spread,0,
