run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,0,42,0,1,32952918,30346326.23,88.06,83,101,110,129,1541,1000,16560,10480,107.32,6.71,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,1,43,0,1,32894682,30400050.68,86.57,84,101,110,133,644,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,2,44,0,1,32910690,30385263.88,87.99,85,104,113,130,830,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,3,45,0,1,32866508,30426110.37,86.89,85,103,109,128,493,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,4,46,0,1,32919714,30376934.62,86.53,83,103,110,129,660,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,5,47,0,1,32854994,30436773.17,86.95,83,102,109,128,779,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,6,48,0,1,32908691,30387109.59,85.94,84,100,107,127,467,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,7,49,0,1,32817910,30471166.51,86.27,84,101,111,133,500,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,8,50,0,1,32888361,30405893.44,87.46,84,103,111,134,519,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,9,51,0,1,32870123,30422764.16,86.73,84,102,110,127,486,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,10,52,0,1,32840220,30450465.92,86.77,84,102,111,129,477,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,11,53,0,1,32814502,30474331.14,86.17,83,102,110,127,514,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,12,54,0,1,32825400,30464213.69,86.64,84,101,108,129,482,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,13,55,0,1,32877922,30415547.55,86.66,84,103,109,131,533,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,14,56,0,1,32825593,30464034.57,106.68,83,103,112,130,14616,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,15,57,0,1,32880656,30413018.52,86.77,83,102,109,130,547,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,16,58,0,1,32840684,30450035.69,87.54,85,102,110,132,598,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,17,59,0,1,32829267,30460625.27,87.26,84,103,111,128,661,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,18,60,0,1,32833652,30456557.19,91.38,84,102,110,133,2599,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,19,61,0,1,32879159,30414403.24,85.96,83,101,109,134,482,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,20,62,0,1,32859698,30432416.03,85.18,83,100,107,128,496,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,21,63,0,1,32850615,30440830.41,88.06,83,102,109,128,2509,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,22,64,0,1,32775067,30510997.89,85.30,83,99,107,131,452,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,23,65,0,1,32883305,30410568.52,85.93,83,102,110,129,503,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,24,66,0,1,32853205,30438430.59,87.85,86,103,110,127,624,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,25,67,0,1,32961730,30338213.44,86.87,84,102,108,132,657,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,26,68,0,1,32872948,30420149.72,89.05,84,102,109,131,2214,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,27,69,0,1,32836934,30453513.11,86.28,84,103,111,132,464,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,28,70,0,1,32824916,30464662.88,85.86,84,103,109,125,460,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,29,71,0,1,32863877,30428546.21,86.67,84,102,110,130,580,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,30,72,0,1,32818337,30470770.05,85.21,83,101,109,129,602,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,31,73,0,1,32825459,30464158.93,86.93,84,101,110,128,615,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,32,74,0,1,32891853,30402665.37,86.42,83,101,109,132,690,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,33,75,0,1,32805292,30482886.72,87.26,84,103,110,127,843,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,34,76,0,1,32838714,30451862.40,86.44,84,103,112,128,529,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,35,77,0,1,32808832,30479597.69,86.05,84,101,109,125,518,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,36,78,0,1,32903807,30391620.03,91.37,83,100,109,132,3236,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,37,79,0,1,32877920,30415549.40,86.16,84,101,109,132,479,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,38,80,0,1,32834309,30455947.77,86.17,83,102,110,130,508,1000,17092,17092,175.02,10.94,1,compact,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,39,81,0,1,32862050,30430237.92,87.08,84,102,110,130,675,1000,17092,17092,175.02,10.94,1,compact,0,
