run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,0,42,0,1,32987718,30314312.74,93.23,83,101,108,124,4916,1000,16696,10528,107.81,6.74,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,1,43,0,1,32990553,30311707.72,87.02,84,103,111,137,706,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,2,44,0,1,32991857,30310509.65,87.17,84,104,111,133,427,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,3,45,0,1,33016245,30288120.29,87.94,84,104,114,130,639,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,4,46,0,1,32949796,30349201.55,86.72,84,103,110,131,510,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,5,47,0,1,33011197,30292751.88,87.43,84,104,109,134,678,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,6,48,0,1,33057100,30250687.45,88.21,86,104,111,132,523,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,7,49,0,1,32949480,30349492.62,86.62,84,103,112,128,560,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,8,50,0,1,33020741,30283996.35,87.33,84,104,113,134,521,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,9,51,0,1,32968422,30332055.32,88.32,85,105,112,131,671,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,10,52,0,1,32989445,30312725.78,87.07,84,103,112,125,510,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,11,53,0,1,32980958,30320526.17,86.97,84,101,109,131,526,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,12,54,0,1,33004045,30299316.34,90.02,85,101,108,130,3147,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,13,55,0,1,32940480,30357784.71,86.57,84,101,110,133,554,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,14,56,0,1,32967522,30332883.38,87.85,85,105,113,130,537,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,15,57,0,1,33014385,30289826.69,87.56,85,104,112,129,503,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,16,58,0,1,32968651,30331844.64,87.33,84,104,111,130,672,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,17,59,0,1,32929511,30367897.05,87.24,85,104,111,127,478,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,18,60,0,1,32957125,30342452.50,87.26,84,103,110,132,515,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,19,61,0,1,33032011,30273663.93,86.65,84,102,111,135,533,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,20,62,0,1,32949342,30349619.73,100.64,83,102,109,130,12576,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,21,63,0,1,32992109,30310278.13,86.55,84,103,109,132,502,1000,17140,17140,175.51,10.97,1,spread,0,
libcuckoo_zipfian_2t_100000m,libcuckoo,master,zipfian,2,100000,1000000,22,64,0,1,32966543,30333784.16,86.39,83,101,108,123,565,1000,17140,17140,175.51,10.97,1,spread,0,
