run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,0,42,0,18375359,54420705.47,39.95,26,64,76,138,309,1000,38696,38696,28.43,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,1,43,0,18271666,54729546.83,41.37,36,61,72,152,328,1000,38652,38652,28.40,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,2,44,0,18544877,53923247.91,42.28,36,65,73,144,493,1000,38652,38652,28.40,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,3,45,0,18269563,54735846.72,39.94,34,61,69,136,278,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,4,46,0,18531839,53961185.40,41.41,34,63,73,143,475,1000,38652,38652,28.40,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,5,47,0,18318078,54590880.11,40.11,33,62,70,138,326,1000,38652,38652,28.40,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,6,48,0,18261428,54760230.14,38.97,26,62,70,139,241,1000,38652,38652,28.39,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,7,49,0,18325755,54568010.98,39.82,26,63,73,138,507,1000,38652,38652,28.40,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,8,50,0,18383583,54396360.06,40.19,32,63,73,140,208,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,9,51,0,18320969,54582265.82,41.04,36,64,71,142,194,1000,38652,38652,28.40,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,10,52,0,18261626,54759636.41,40.47,32,64,73,140,372,1000,38652,38652,28.39,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,11,53,0,18215517,54898249.66,40.44,33,62,70,146,512,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,12,54,0,18286712,54684516.28,39.54,31,61,70,137,320,1000,38652,38652,28.39,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,13,55,0,18316620,54595225.54,38.53,26,62,70,133,159,1000,38652,38652,28.40,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,14,56,0,18299598,54646009.16,39.14,33,61,70,138,260,1000,38652,38652,28.40,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,15,57,0,18279908,54704870.51,40.24,34,63,71,140,214,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,16,58,0,18248109,54800198.75,39.76,32,63,73,140,178,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,17,59,0,18322854,54576650.56,41.01,35,63,71,146,491,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,18,60,0,18262248,54757771.33,41.27,34,63,74,149,375,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,19,61,0,18469021,54144721.59,39.67,34,61,69,130,443,1000,38652,38652,28.40,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,20,62,0,18442178,54223530.43,39.98,28,64,71,136,283,1000,38652,38652,28.40,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,21,63,0,18297219,54653114.22,40.45,33,63,71,141,467,1000,38652,38652,28.41,1.78,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,22,64,0,18373288,54426839.66,40.73,36,63,70,137,485,1000,38652,38652,28.39,1.77,1,spread,0,
phmap_balanced_1t_1000000m,parallel-hashmap,2.0.0,balanced,1,1000000,1000000,23,65,0,18343078,54516477.55,39.51,27,62,68,141,295,1000,38652,38652,28.41,1.78,1,spread,0,
