run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,0,42,0,1,22602282,44243320.21,67.70,45,144,174,299,616,1000,282432,282432,27.58,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,1,43,0,1,22762890,43931152.85,69.01,48,147,184,277,534,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,2,44,0,1,22839207,43784357.31,68.47,48,145,168,247,491,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,3,45,0,1,22696242,44060157.62,68.09,47,147,172,276,743,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,4,46,0,1,22786860,43884940.71,68.62,47,149,181,263,523,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,5,47,0,1,22807565,43845101.40,72.24,47,154,202,383,573,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,6,48,0,1,22931978,43607228.30,69.78,47,149,179,336,560,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,7,49,0,1,22722653,44008945.61,66.92,39,145,168,262,2605,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,8,50,0,1,22882622,43701285.63,68.34,47,144,172,262,474,1000,282388,282388,27.57,1.72,1,spread,0,
phmap_balanced_2t_10000000m,parallel-hashmap,2.0.0,balanced,2,10000000,1000000,9,51,0,1,22668703,44113683.96,69.26,49,146,173,336,569,1000,282388,282388,27.57,1.72,1,spread,0,
