run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,0,42,0,1,12299349,81305116.23,42.09,38,59,75,102,246,1000,8268,8268,42.49,2.66,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,1,43,0,1,12131021,82433292.30,247.52,38,57,71,100,205522,1000,9508,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,2,44,0,1,11767533,84979578.98,42.38,37,60,71,123,182,1000,10020,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,3,45,0,1,11799509,84749289.14,41.71,38,60,75,95,148,1000,10020,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,4,46,0,1,11667974,85704681.89,45.21,37,59,69,96,4140,1000,10020,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,5,47,0,1,11580667,86350812.09,42.20,37,59,73,101,439,1000,10020,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,6,48,0,1,11586296,86308860.05,41.88,37,59,74,100,190,1000,10020,8308,42.66,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,7,49,0,1,11715800,85354819.99,41.35,36,60,72,97,144,1000,10020,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,8,50,0,1,11459135,87266621.78,41.48,37,58,70,94,245,1000,10020,8308,42.69,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,9,51,0,1,11692298,85526386.69,42.19,38,58,72,105,308,1000,10032,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,10,52,0,1,11708754,85406184.13,41.70,37,59,67,94,184,1000,10032,8716,44.77,2.80,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,11,53,0,1,11637490,85929182.32,41.58,38,58,70,94,247,1000,10032,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,12,54,0,1,11608516,86143655.23,41.32,37,59,72,96,224,1000,10032,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,13,55,0,1,11667553,85707774.37,40.83,36,58,68,96,170,1000,10032,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,14,56,0,1,11551961,86565389.20,41.41,38,57,67,95,171,1000,10032,8308,42.67,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,15,57,0,1,11648659,85846791.46,41.68,38,57,70,95,135,1000,10032,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,16,58,0,1,11507202,86902098.36,42.07,38,59,73,97,143,1000,10032,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,17,59,0,1,11583951,86326332.01,41.94,38,59,69,95,169,1000,10048,8308,42.69,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,18,60,0,1,11507328,86901146.82,42.18,38,60,77,97,130,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,19,61,0,1,11628592,85994933.87,42.02,38,59,72,104,179,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,20,62,0,1,11556279,86533044.07,41.55,37,59,73,99,158,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,21,63,0,1,11574660,86395626.31,41.30,38,58,69,88,131,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,22,64,0,1,11644918,85874370.26,41.43,37,59,74,96,160,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,23,65,0,1,11401954,87704265.43,41.39,37,59,72,96,412,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,24,66,0,1,11643615,85883980.19,42.13,38,60,74,100,156,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,25,67,0,1,11592311,86264076.25,42.20,38,60,75,99,217,1000,10048,8308,42.69,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,26,68,0,1,11619926,86059067.85,41.78,37,60,73,102,165,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,27,69,0,1,11604573,86172925.10,40.99,36,59,69,95,149,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,28,70,0,1,11501244,86947116.33,41.86,38,58,68,94,154,1000,10048,8308,42.69,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,29,71,0,1,11402971,87696443.32,41.06,38,57,67,89,133,1000,10048,8308,42.69,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,30,72,0,1,11682269,85599809.42,125.76,37,59,69,97,84622,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,31,73,0,1,11703369,85445481.55,41.55,36,58,74,100,190,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,32,74,0,1,11566191,86458886.94,41.85,38,59,71,102,153,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,33,75,0,1,11701716,85457551.70,41.41,37,58,70,99,171,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,34,76,0,1,11649010,85844204.79,40.88,36,59,71,94,156,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,35,77,0,1,11562603,86485716.06,42.52,38,60,76,95,139,1000,10048,8308,42.67,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,36,78,0,1,11637563,85928643.31,42.17,38,60,69,96,219,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,37,79,0,1,11422659,87545290.46,42.13,38,61,74,98,245,1000,10048,8308,42.69,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,38,80,0,1,11610928,86125760.15,41.88,37,61,74,96,178,1000,10048,8308,42.68,2.67,1,compact,0,
phmap_balanced_2t_100000m,parallel-hashmap,2.0.0,balanced,2,100000,1000000,39,81,0,1,11641746,85897768.26,41.69,37,58,74,104,156,1000,10048,8308,42.69,2.67,1,compact,0,
