run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,0,42,0,1,45373280,22039402.93,345.55,49,144,162,378,261893,1000,282400,282400,289.18,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,1,43,0,1,44787727,22327545.22,337.57,52,152,178,442,247312,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,2,44,0,1,45188776,22129388.94,365.50,51,150,174,458,276867,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,3,45,0,1,44749540,22346598.42,322.73,52,151,178,379,232523,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,4,46,0,1,44465543,22489323.92,359.75,54,154,181,478,266974,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,5,47,0,1,44495576,22474144.40,381.53,51,146,168,531,266682,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,6,48,0,1,44389743,22527726.73,337.77,50,151,172,422,248624,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,7,49,0,1,44473126,22485489.33,325.36,52,158,184,401,233011,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,8,50,0,1,44191323,22628876.71,340.93,51,150,179,464,250352,1000,282392,282392,289.17,18.07,1,compact,0,
phmap_insert_only_2t_10000000m,parallel-hashmap,2.0.0,insert_only,2,10000000,1000000,9,51,0,1,45247826,22100509.32,350.04,51,153,176,401,260839,1000,282392,282392,289.17,18.07,1,compact,0,
