run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,0,42,0,1,21177533,47219853.23,72.22,49,77,125,324,7406,1000,38708,38708,39.64,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,1,43,0,1,20587011,48574317.08,65.14,50,78,100,172,4189,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,2,44,0,1,20474474,48841303.57,65.34,50,80,96,180,2704,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,3,45,0,1,19992363,50019099.79,62.88,48,78,96,162,4950,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,4,46,0,1,19923317,50192445.36,65.35,49,76,96,214,4709,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,5,47,0,1,19823774,50444481.46,67.45,49,82,100,187,5070,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,6,48,0,1,19835826,50413832.02,62.81,49,74,91,170,4686,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,7,49,0,1,20253133,49375076.93,63.73,48,74,96,199,4783,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,8,50,0,1,19935500,50161771.71,69.35,49,78,95,185,9441,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,9,51,0,1,19948996,50127836.01,69.78,49,81,109,163,10210,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,10,52,0,1,19790993,50528035.66,63.21,49,76,96,181,4181,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,11,53,0,1,19831932,50423730.78,64.37,49,78,108,195,4192,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,12,54,0,1,19935186,50162561.81,66.19,49,78,96,193,4948,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,13,55,0,1,19894685,50264681.25,62.81,49,74,88,167,5181,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,14,56,0,1,19948269,50129662.88,62.93,48,75,91,178,4674,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,15,57,0,1,19947908,50130570.08,64.57,49,75,97,196,4735,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,16,58,0,1,19910395,50225020.65,61.95,48,71,88,157,5217,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,17,59,0,1,19919027,50203255.41,62.11,49,72,95,169,4443,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,18,60,0,1,19906499,50234850.44,64.90,48,74,96,186,4643,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,19,61,0,1,19885385,50288189.04,65.22,49,77,99,187,5178,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,20,62,0,1,19934822,50163477.76,65.19,48,79,99,182,4843,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,21,63,0,1,19921570,50196846.94,65.76,48,76,98,188,5266,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,22,64,0,1,19901762,50246807.29,64.92,48,75,94,217,4624,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,23,65,0,1,19972756,50068202.91,83.60,48,75,95,172,20614,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,24,66,0,1,19923796,50191238.66,67.66,49,78,116,366,4843,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,25,67,0,1,19849159,50379968.24,63.96,48,74,96,165,5268,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,26,68,0,1,19903870,50241485.70,70.65,48,74,94,182,12107,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,27,69,0,1,19910179,50225565.53,65.23,48,76,101,186,4854,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,28,70,0,1,19966742,50083283.49,64.01,49,79,106,176,4474,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,29,71,0,1,19918271,50205160.88,63.16,48,78,94,199,4662,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,30,72,0,1,19900273,50250566.91,64.88,49,73,95,221,4965,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,31,73,0,1,19959815,50100664.76,63.97,49,74,96,228,4551,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,32,74,0,1,19990939,50022662.77,68.09,49,75,95,169,9925,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,33,75,0,1,19845410,50389485.53,69.31,49,77,101,169,4742,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,34,76,0,1,19873657,50317865.50,65.61,49,78,93,197,5063,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,35,77,0,1,19917613,50206819.46,64.53,49,78,98,223,4876,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,36,78,0,1,19917447,50207237.91,66.27,49,78,100,203,4886,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_insert_only_2t_1000000m,parallel-hashmap,2.0.0,insert_only,2,1000000,1000000,37,79,0,1,19954466,50114094.76,62.96,49,72,90,162,4952,1000,38680,38680,39.61,2.48,1,spread,0,
