run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,0,42,0,1,20256236,49367513.29,92.81,49,75,90,186,25654,1000,38704,38704,39.63,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,1,43,0,1,19970803,50073099.21,67.27,52,78,93,161,2795,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,2,44,0,1,19497237,51289318.58,69.06,50,77,90,182,5764,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,3,45,0,1,19527533,51209745.75,74.28,50,74,92,1010,4438,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,4,46,0,1,19403699,51536565.27,76.12,50,71,84,187,10793,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,5,47,0,1,19573698,51088966.43,77.09,50,75,94,953,4667,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,6,48,0,1,19525828,51214217.39,69.52,50,73,88,200,4955,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,7,49,0,1,19525289,51215631.17,69.12,50,77,90,190,4715,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,8,50,0,1,19546468,51160137.99,69.99,49,68,83,189,5500,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,9,51,0,1,19506385,51265265.19,79.52,49,71,86,147,11591,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,10,52,0,1,19743165,50650440.29,67.61,49,72,86,162,4655,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,11,53,0,1,19620036,50968306.07,67.73,50,73,88,157,4821,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,12,54,0,1,19572215,51092837.47,71.26,49,74,88,318,5009,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,13,55,0,1,19542063,51171670.05,67.51,50,74,90,157,4462,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,14,56,0,1,19648429,50894654.22,72.17,50,77,93,379,4680,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,15,57,0,1,19575793,51083498.89,80.14,50,68,88,346,7462,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,16,58,0,1,19464127,51376565.72,69.83,50,69,86,364,4724,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,17,59,0,1,19623412,50959537.52,71.42,49,71,91,183,5378,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,18,60,0,1,19665871,50849514.88,66.60,49,75,95,166,4801,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,19,61,0,1,19548046,51156008.12,73.21,49,72,86,165,6074,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,20,62,0,1,19490643,51306670.59,73.13,49,71,89,177,7382,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,21,63,0,1,19605572,51005907.91,66.96,49,68,86,319,5735,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,22,64,0,1,19554920,51138025.62,73.73,50,71,93,978,5256,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,23,65,0,1,19507294,51262876.34,82.77,50,73,89,297,10179,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,24,66,0,1,19610604,50992820.01,70.18,50,73,88,177,4930,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,25,67,0,1,19598923,51023211.84,69.86,49,74,88,178,4502,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,26,68,0,1,19546575,51159857.93,69.25,49,71,90,183,4613,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,27,69,0,1,19541881,51172146.63,70.63,50,74,88,185,4710,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,28,70,0,1,19475077,51347678.88,69.86,49,80,92,213,4985,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,29,71,0,1,19576512,51081622.71,72.01,50,74,97,443,5733,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,30,72,0,1,19523115,51221334.30,68.19,49,72,88,168,4493,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,31,73,0,1,19579073,51074941.09,69.11,49,73,89,172,4822,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,32,74,0,1,19524851,51216780.09,68.47,50,78,91,174,5135,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,33,75,0,1,19565042,51111569.30,70.44,49,72,86,187,4438,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,34,76,0,1,19563805,51114801.03,68.35,49,71,87,173,4467,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,35,77,0,1,19561709,51120277.89,71.28,50,72,90,182,4571,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,36,78,0,1,19600882,51018112.35,67.68,50,73,90,163,4455,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,37,79,0,1,19510871,51253478.13,67.42,49,72,92,147,4575,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,38,80,0,1,19568693,51102033.23,71.36,50,72,87,203,4809,1000,38672,38672,39.60,2.48,1,compact,0,
