run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,0,42,0,1,20496150,48789650.74,60.98,49,71,91,182,1916,1000,38712,38712,39.64,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,1,43,0,1,20068076,49830387.33,76.16,51,73,91,959,4283,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,2,44,0,1,19589028,51048985.18,72.04,49,70,88,926,4570,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,3,45,0,1,19570602,51097048.52,71.36,50,73,87,962,4735,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,4,46,0,1,19513173,51247431.67,77.36,50,73,95,709,9810,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,5,47,0,1,19532088,51197803.33,67.16,50,73,89,601,4387,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,6,48,0,1,19507313,51262826.41,67.14,50,75,97,162,4503,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,7,49,0,1,19580720,51070645.00,68.78,50,70,86,183,4398,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,8,50,0,1,19563718,51115028.34,69.23,49,74,88,197,4703,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,9,51,0,1,19551668,51146531.33,75.02,49,69,88,482,7540,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,10,52,0,1,19488090,51313391.92,69.55,49,71,84,164,4505,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,11,53,0,1,19519639,51230455.65,67.06,49,73,91,184,4679,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,12,54,0,1,19612347,50988288.14,73.06,50,75,95,186,4507,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,13,55,0,1,19552708,51143810.87,66.92,49,69,83,153,4901,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,14,56,0,1,19603344,51011704.94,66.84,50,71,90,196,5252,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,15,57,0,1,19604496,51008707.39,77.57,50,71,85,533,7320,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,16,58,0,1,19611697,50989978.07,71.27,49,72,89,918,5059,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,17,59,0,1,19504001,51271531.42,69.09,48,71,89,178,4841,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,18,60,0,1,19497346,51289031.85,64.64,49,70,86,187,5234,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,19,61,0,1,19524511,51217671.98,74.12,50,77,89,972,4596,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,20,62,0,1,19491008,51305709.79,74.14,49,70,87,146,8584,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,21,63,0,1,19500007,51282032.87,65.98,49,68,86,176,5677,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,22,64,0,1,19549379,51152519.99,74.33,49,72,90,884,5114,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,23,65,0,1,19559679,51125583.40,70.08,49,70,86,299,4405,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,24,66,0,1,19577849,51078134.27,70.60,50,74,88,474,4696,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,25,67,0,1,19549226,51152920.33,67.23,50,72,96,190,5660,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,26,68,0,1,19477499,51341293.87,88.19,49,71,86,178,20033,1000,38680,38680,39.61,2.48,1,spread,0,
phmap_random_keys_2t_1000000m,parallel-hashmap,2.0.0,random_keys,2,1000000,1000000,27,69,0,1,19516654,51238291.15,69.18,49,75,91,216,4614,1000,38680,38680,39.61,2.48,1,spread,0,
