run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,0,42,0,1,9831644,101712389.10,40.57,28,35,131,226,2932,1000,282436,282436,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,1,43,0,1,9717815,102903790.62,36.02,27,33,132,222,542,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,2,44,0,1,9803398,102005447.50,36.82,27,33,128,222,558,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,3,45,0,1,9780097,102248474.63,37.91,27,34,129,233,661,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,4,46,0,1,9725639,102821007.44,39.08,27,35,142,222,488,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,5,47,0,1,9720527,102875080.74,38.92,27,35,148,227,358,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,6,48,0,1,9787576,102170343.30,40.15,27,34,143,246,496,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,7,49,0,1,9755701,102504166.54,38.72,28,35,138,233,365,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,8,50,0,1,9857398,101446649.51,37.70,27,33,141,233,541,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,9,51,0,1,9707647,103011574.28,37.12,28,34,136,221,561,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,10,52,0,1,9698479,103108951.41,36.80,28,35,134,214,286,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,11,53,0,1,9748358,102581378.32,38.58,28,35,136,221,384,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,12,54,0,1,9783269,102215322.92,39.63,28,35,154,231,425,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,13,55,0,1,9708893,102998354.19,38.28,28,34,137,238,495,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,14,56,0,1,9704275,103047368.30,36.67,27,33,135,221,397,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,15,57,0,1,9830551,101723697.89,36.77,27,33,134,214,486,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,16,58,0,1,9736914,102701944.37,37.54,28,34,138,227,335,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,17,59,0,1,9716942,102913035.81,37.12,27,33,133,220,512,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,18,60,0,1,9756365,102497190.30,37.49,28,35,132,225,320,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,19,61,0,1,9771772,102335584.58,39.72,28,36,138,240,476,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,20,62,0,1,9766278,102393153.26,36.34,27,34,132,218,465,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,21,63,0,1,9777188,102278896.55,38.22,27,34,136,222,465,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,22,64,0,1,9747225,102593302.20,39.16,27,35,143,229,519,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,23,65,0,1,9718228,102899417.47,39.27,27,35,141,233,510,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,24,66,0,1,9748870,102575990.86,38.55,28,35,139,239,336,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,25,67,0,1,10367890,96451640.59,38.63,27,35,138,234,458,1000,282392,282392,28.92,1.81,1,spread,0,
phmap_read_majority_95_2t_10000000m,parallel-hashmap,2.0.0,read_majority_95,2,10000000,1000000,26,68,0,1,9790123,102143762.65,38.92,28,35,141,231,443,1000,282392,282392,28.92,1.81,1,spread,0,
