run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,0,42,0,1,7116560,140517328.60,32.35,27,32,66,152,379,1000,38700,38700,39.63,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,1,43,0,1,7092703,140989972.37,31.62,27,32,63,141,293,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,2,44,0,1,7245214,138022148.14,31.81,27,32,58,143,411,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,3,45,0,1,7115908,140530203.59,31.16,28,33,55,136,225,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,4,46,0,1,7104198,140761842.50,33.16,28,35,74,152,288,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,5,47,0,1,7090401,141035746.78,32.19,28,35,69,135,164,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,6,48,0,1,7069306,141456601.26,33.81,28,35,71,154,363,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,7,49,0,1,7091333,141017210.73,32.19,28,34,66,143,192,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,8,50,0,1,7133920,140175387.44,31.57,28,32,61,144,220,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,9,51,0,1,7069658,141449558.10,31.50,28,33,60,142,213,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,10,52,0,1,7075755,141327674.57,33.10,28,34,69,149,364,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,11,53,0,1,7084048,141162228.15,32.82,28,33,68,148,390,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,12,54,0,1,7094206,140960101.81,32.82,28,33,68,150,409,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,13,55,0,1,7145758,139943166.28,31.57,27,34,67,132,179,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,14,56,0,1,7095738,140929667.92,31.53,28,32,55,144,178,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,15,57,0,1,7083782,141167528.87,32.40,28,32,68,145,361,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,16,58,0,1,7080269,141237571.62,31.78,27,32,62,134,498,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,17,59,0,1,7117743,140493974.00,31.87,28,32,66,147,390,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,18,60,0,1,7102586,140793789.75,32.81,27,33,67,153,300,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,19,61,0,1,7087795,141087602.00,32.17,28,33,68,136,201,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,20,62,0,1,7107498,140696487.01,32.98,27,33,74,156,410,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,21,63,0,1,7093334,140977430.36,32.42,28,33,65,144,554,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,22,64,0,1,7105732,140731454.55,32.56,28,34,67,140,402,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,23,65,0,1,7090940,141025026.30,33.37,28,34,65,152,502,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,24,66,0,1,7122174,140406566.87,32.23,28,33,70,146,217,1000,38672,38672,39.60,2.48,1,compact,0,
phmap_read_majority_95_2t_1000000m,parallel-hashmap,2.0.0,read_majority_95,2,1000000,1000000,25,67,0,1,7098605,140872748.94,31.85,27,32,65,147,182,1000,38672,38672,39.60,2.48,1,compact,0,
