run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,0,42,0,5150374,194160657.07,20.57,20,22,22,26,28,1000,6044,6044,61.89,3.87,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,1,43,0,5434107,184022876.25,21.89,22,22,23,26,59,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,2,44,0,5422951,184401444.90,21.81,22,22,23,23,60,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,3,45,0,5462161,183077723.27,26.91,22,23,23,27,5028,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,4,46,0,5171249,193376880.52,20.69,21,22,22,26,32,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,5,47,0,5116306,195453516.66,20.42,20,21,21,22,32,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,6,48,0,5142318,194464830.84,20.73,20,21,23,25,196,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,7,49,0,5112170,195611648.28,20.48,20,21,22,25,33,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,8,50,0,5099064,196114424.14,20.48,20,21,21,24,53,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,9,51,0,5100736,196050138.65,20.41,20,21,21,24,29,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,10,52,0,5086990,196579902.85,20.42,20,21,21,22,35,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,11,53,0,5099423,196100617.66,20.43,20,21,21,24,35,1000,5996,5996,61.40,3.84,1,compact,0,
phmap_read_only_1t_100000m,parallel-hashmap,2.0.0,read_only,1,100000,1000000,12,54,0,5108698,195744590.89,20.46,20,21,21,24,30,1000,5996,5996,61.40,3.84,1,compact,0,
