run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,0,42,0,1,5205355,192109856.10,25.80,24,28,29,77,91,1000,282428,282428,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,1,43,0,1,5213550,191807885.22,25.34,24,28,29,74,140,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,2,44,0,1,5203417,192181406.95,25.75,24,28,29,78,133,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,3,45,0,1,5211105,191897879.62,25.77,24,28,29,77,134,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,4,46,0,1,5201068,192268203.38,25.60,24,28,29,77,110,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,5,47,0,1,5200471,192290275.25,25.45,24,28,29,73,134,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,6,48,0,1,5206098,192082438.71,25.38,24,28,29,77,132,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,7,49,0,1,5199483,192326814.03,25.31,24,28,29,75,140,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,8,50,0,1,5215661,191730252.41,25.76,24,28,29,77,176,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,9,51,0,1,5199536,192324853.60,25.31,24,28,28,76,84,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,10,52,0,1,5201254,192261327.75,25.53,24,28,29,77,86,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,11,53,0,1,5205095,192119452.19,25.67,24,28,28,78,133,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,12,54,0,1,5222178,191490983.26,25.39,24,28,29,73,127,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,13,55,0,1,5209329,191963302.76,25.82,24,28,29,78,133,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,14,56,0,1,5201665,192246136.57,25.55,24,28,29,76,133,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,15,57,0,1,5205949,192087936.32,25.73,24,28,29,78,87,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,16,58,0,1,5200897,192274524.95,25.58,24,28,29,76,131,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,17,59,0,1,5204714,192133515.89,25.56,24,28,29,73,135,1000,282448,282448,28.92,1.81,1,spread,0,
phmap_read_only_2t_10000000m,parallel-hashmap,2.0.0,read_only,2,10000000,1000000,18,60,0,1,5200909,192274081.32,25.67,24,28,29,77,89,1000,282448,282448,28.92,1.81,1,spread,0,
