run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,0,42,0,1,5226536,191331313.90,26.28,24,28,29,78,129,1000,38704,38704,39.63,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,1,43,0,1,5204596,192137871.99,25.66,24,28,29,77,133,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,2,44,0,1,5208659,191987995.37,25.29,24,28,28,76,93,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,3,45,0,1,5199548,192324409.74,25.27,24,28,29,76,87,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,4,46,0,1,5202602,192211512.62,26.15,24,28,29,78,128,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,5,47,0,1,5202102,192229987.03,25.77,24,28,29,77,130,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,6,48,0,1,5200800,192278111.06,26.02,24,28,29,77,212,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,7,49,0,1,5198136,192376651.94,26.18,24,28,29,78,79,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,8,50,0,1,5202224,192225478.95,25.84,24,28,29,77,142,1000,38676,38676,39.60,2.48,1,compact,0,
phmap_read_only_2t_1000000m,parallel-hashmap,2.0.0,read_only,2,1000000,1000000,9,51,0,1,5197393,192404153.39,26.04,24,28,29,78,285,1000,38676,38676,39.60,2.48,1,compact,0,
