run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,0,42,0,38383085,26053142.94,40.57,35,57,66,131,402,1000,39908,39092,40.03,2.50,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,1,43,0,32477287,30790749.24,40.09,36,59,65,126,297,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,2,44,0,28218209,35438110.19,35.21,32,50,57,119,222,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,3,45,0,28038750,35664928.00,35.76,32,49,54,123,564,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,4,46,0,28017041,35692562.97,35.23,32,49,54,117,469,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,5,47,0,27981129,35738372.10,34.79,32,48,53,115,468,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,6,48,0,27963332,35761117.45,34.80,32,49,53,111,463,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,7,49,0,27994284,35721578.02,34.66,32,48,53,116,286,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,8,50,0,28231099,35421929.55,34.88,32,49,54,114,368,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,9,51,0,28150330,35523562.25,37.35,31,48,55,116,2329,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,10,52,0,28152040,35521404.49,35.01,32,49,54,119,243,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,11,53,0,28097058,35590914.89,34.70,31,49,55,117,166,1000,43528,43528,44.57,2.79,1,spread,0,
phmap_resize_stress_1t_10000000m,parallel-hashmap,2.0.0,resize_stress,1,10000000,1000000,12,54,0,28028499,35677971.91,34.46,32,48,55,108,172,1000,43528,43528,44.57,2.79,1,spread,0,
