run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,0,42,0,1,42321632,23628578.41,62.69,44,70,87,152,13511,1000,39760,38980,39.92,2.49,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,1,43,0,1,37367105,26761505.88,77.14,44,72,96,174,26241,1000,47392,47392,48.53,3.03,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,2,44,0,1,30316549,32985284.70,45.17,39,65,79,151,517,1000,47136,47136,48.27,3.02,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,3,45,0,1,30436148,32855668.86,44.95,38,62,83,149,542,1000,46968,46884,48.01,3.00,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,4,46,0,1,31146279,32106564.00,45.09,39,64,83,166,398,1000,48964,48964,50.14,3.13,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,5,47,0,1,29271392,34163049.03,44.02,38,63,82,136,256,1000,48628,47696,48.84,3.05,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,6,48,0,1,30204994,33107108.05,874.37,38,66,82,141,830040,1000,48628,47496,48.64,3.04,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,7,49,0,1,30326925,32973999.18,44.91,39,67,86,142,222,1000,48628,45840,46.94,2.93,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,8,50,0,1,29091700,34374065.46,44.39,39,65,80,146,469,1000,48628,47884,49.03,3.06,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,9,51,0,1,30956714,32303170.16,45.56,39,67,80,134,481,1000,49448,49448,50.63,3.16,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,10,52,0,1,30061132,33265547.02,44.77,38,66,89,148,482,1000,48960,48784,49.95,3.12,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,11,53,0,1,30833703,32432043.60,44.82,38,64,77,157,537,1000,50976,50976,52.20,3.26,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,12,54,0,1,30163478,33152675.56,47.85,38,64,79,150,2849,1000,52988,52988,54.26,3.39,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,13,55,0,1,31326121,31922241.51,45.33,38,65,86,152,613,1000,55740,55740,57.08,3.57,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,14,56,0,1,28656346,34896284.40,44.84,38,66,79,143,493,1000,55528,50480,51.69,3.23,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,15,57,0,1,29540431,33851909.61,45.97,40,66,83,153,538,1000,55528,52356,53.61,3.35,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,16,58,0,1,30906741,32355401.04,472.68,40,69,82,170,426205,1000,55528,51892,53.14,3.32,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,17,59,0,1,29308735,34119521.02,72.91,38,63,80,147,29000,1000,55528,49764,50.96,3.18,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,18,60,0,1,29684940,33687115.42,45.81,39,68,88,148,399,1000,55528,49724,50.92,3.18,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,19,61,0,1,29029564,34447641.03,44.65,38,65,86,145,273,1000,55528,52068,53.32,3.33,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,20,62,0,1,30592190,32688081.50,57.39,38,68,81,164,12413,1000,55528,49624,50.81,3.18,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,21,63,0,1,28838474,34675898.59,43.62,38,63,77,143,197,1000,55528,52856,54.12,3.38,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,22,64,0,1,29365382,34053703.10,44.92,39,64,82,138,226,1000,55528,52540,53.80,3.36,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,23,65,0,1,31074858,32180356.22,44.51,38,63,84,145,313,1000,55528,51260,52.49,3.28,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,24,66,0,1,29864334,33484758.11,44.89,39,64,82,156,471,1000,55528,50932,52.15,3.26,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,25,67,0,1,28701882,34840920.88,46.21,39,68,91,148,406,1000,55528,50808,52.03,3.25,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,26,68,0,1,28459647,35137470.26,44.81,38,65,79,148,438,1000,55528,50472,51.68,3.23,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,27,69,0,1,30791521,32476472.99,43.71,38,63,81,133,436,1000,55528,52844,54.11,3.38,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,28,70,0,1,29322101,34103968.20,43.79,38,64,82,139,270,1000,55528,50292,51.50,3.22,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,29,71,0,1,29145866,34310183.13,492.66,38,63,77,147,443234,1000,55528,50324,51.53,3.22,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,30,72,0,1,30762448,32507165.88,43.59,38,62,77,142,385,1000,55528,51352,52.58,3.29,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,31,73,0,1,30226362,33083703.56,47.37,38,63,77,156,3227,1000,55528,51048,52.27,3.27,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,32,74,0,1,30185690,33128280.32,44.96,39,64,79,149,471,1000,55528,45208,46.29,2.89,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,33,75,0,1,31719318,31526529.04,46.18,39,70,87,157,359,1000,55528,47656,48.80,3.05,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,34,76,0,1,29749904,33613553.85,191.55,39,65,80,139,146772,1000,55528,52064,53.31,3.33,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,35,77,0,1,29974779,33361380.25,44.44,38,63,80,139,511,1000,55528,49344,50.53,3.16,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,36,78,0,1,29668061,33706280.97,47.29,39,70,89,165,1291,1000,55528,46144,47.25,2.95,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,37,79,0,1,30976640,32282390.86,44.50,39,62,76,140,411,1000,55528,51788,53.03,3.31,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,38,80,0,1,30968336,32291047.22,1007.01,38,65,88,191,766723,1000,55528,49768,50.96,3.19,1,spread,0,
phmap_resize_stress_2t_10000000m,parallel-hashmap,2.0.0,resize_stress,2,10000000,1000000,39,81,0,1,30345014,32954343.01,46.20,40,64,79,148,472,1000,55528,52292,53.55,3.35,1,spread,0,
