run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,0,42,0,1,41997738,23810806.19,53.09,48,76,91,157,335,1000,40396,39524,40.47,2.53,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,1,43,0,1,34045237,29372684.35,50.81,44,71,87,178,460,1000,43004,43004,44.04,2.75,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,2,44,0,1,30537549,32746570.46,45.82,39,67,83,152,583,1000,46824,46824,47.95,3.00,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,3,45,0,1,29383640,34032543.28,61.18,42,69,85,163,13126,1000,46604,44672,45.74,2.86,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,4,46,0,1,29951193,33387651.70,159.38,40,65,78,149,97641,1000,46668,46668,47.79,2.99,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,5,47,0,1,30255920,33051383.00,47.02,38,68,86,180,1441,1000,46604,45516,46.61,2.91,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,6,48,0,1,30523011,32762167.53,45.66,38,62,80,149,1516,1000,48824,48824,50.00,3.12,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,7,49,0,1,29810705,33544996.67,381.77,39,64,85,151,337227,1000,48492,47020,48.15,3.01,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,8,50,0,1,30164082,33152011.72,232.45,38,64,83,155,153303,1000,48492,46736,47.86,2.99,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,9,51,0,1,29701573,33668250.50,44.10,38,63,79,144,496,1000,48492,48144,49.30,3.08,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,10,52,0,1,28784439,34740993.22,44.70,38,65,83,153,210,1000,48492,47152,48.28,3.02,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,11,53,0,1,29671204,33702710.55,44.59,39,65,82,140,522,1000,50996,50996,52.22,3.26,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,12,54,0,1,30414255,32879319.25,51.78,45,74,94,167,488,1000,50768,47544,48.69,3.04,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,13,55,0,1,29703223,33666380.24,44.09,38,63,81,144,204,1000,50768,48800,49.97,3.12,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,14,56,0,1,29569671,33818435.11,46.65,39,67,91,160,689,1000,50768,46304,47.42,2.96,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,15,57,0,1,28224460,35430261.55,51.04,38,63,81,171,6366,1000,50768,44828,45.90,2.87,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,16,58,0,1,30919796,32341739.90,44.73,38,64,80,148,548,1000,50768,50060,51.26,3.20,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,17,59,0,1,30231126,33078490.03,45.06,38,63,80,137,1498,1000,53020,53020,54.29,3.39,1,compact,0,
phmap_resize_stress_2t_100000m,parallel-hashmap,2.0.0,resize_stress,2,100000,1000000,18,60,0,1,29017639,34461797.53,43.97,38,63,81,131,451,1000,52740,49692,50.88,3.18,1,compact,0,
