run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,0,42,0,1,45547634,21955037.23,363.07,51,154,172,401,272376,1000,282396,282396,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,1,43,0,1,45037677,22203631.86,349.56,49,147,174,380,261014,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,2,44,0,1,44660973,22390913.87,353.63,49,147,171,552,262199,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,3,45,0,1,45065626,22189861.51,347.94,50,148,173,714,256751,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,4,46,0,1,44920007,22261795.28,381.41,52,151,183,641,284700,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,5,47,0,1,44908254,22267621.45,336.39,50,144,174,391,247838,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,6,48,0,1,44977076,22233548.49,346.59,49,145,169,922,255765,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,7,49,0,1,44939498,22252139.98,358.53,51,150,177,515,265194,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,8,50,0,1,44755837,22343454.33,355.42,49,145,170,434,265785,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,9,51,0,1,45455659,21999461.06,381.20,51,147,173,624,287941,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,10,52,0,1,44374688,22535369.71,342.75,49,144,176,565,253940,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,11,53,0,1,44940580,22251604.23,345.50,50,149,172,529,254481,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,12,54,0,1,44981737,22231244.65,333.97,52,148,172,584,240465,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,13,55,0,1,44928965,22257356.70,379.67,49,148,181,482,285252,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,14,56,0,1,44715086,22363816.99,358.22,49,147,172,487,270551,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,15,57,0,1,45012236,22216181.40,355.14,48,145,165,313,269483,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,16,58,0,1,44628230,22407341.72,349.57,50,151,183,524,255769,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,17,59,0,1,44735530,22353596.79,346.88,47,143,171,566,258694,1000,282388,282388,289.17,18.07,1,spread,0,
phmap_sequential_keys_2t_10000000m,parallel-hashmap,2.0.0,sequential_keys,2,10000000,1000000,18,60,0,1,45121540,22162364.14,362.90,51,147,168,411,269964,1000,282388,282388,289.17,18.07,1,spread,0,
