run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,0,42,0,1,20732925,48232461.17,70.02,49,77,101,509,3529,1000,38708,38708,39.64,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,1,43,0,1,20703838,48300223.37,63.97,50,78,97,182,2712,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,2,44,0,1,20003286,49991786.35,70.14,49,76,92,199,9588,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,3,45,0,1,20025333,49936747.62,68.46,49,82,130,214,5067,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,4,46,0,1,20007387,49981539.32,68.37,49,76,107,215,4699,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,5,47,0,1,20026705,49933326.53,65.75,47,78,109,192,4723,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,6,48,0,1,20040358,49899308.19,63.82,48,75,93,167,4344,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,7,49,0,1,19983887,50040314.98,64.62,49,73,91,221,4635,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,8,50,0,1,20018383,49954084.70,64.52,49,76,95,177,4523,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,9,51,0,1,20048507,49879025.90,71.75,49,79,104,192,6939,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,10,52,0,1,19987750,50030643.77,65.92,49,78,107,215,4441,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,11,53,0,1,20082563,49794441.08,64.63,49,79,98,212,4188,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,12,54,0,1,20033220,49917087.72,69.65,48,74,95,372,8571,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,13,55,0,1,20051249,49872204.97,66.19,48,73,100,182,5232,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,14,56,0,1,20042912,49892949.69,66.22,49,76,95,213,5790,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,15,57,0,1,19911720,50221678.49,66.86,49,80,103,257,5382,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,16,58,0,1,20047130,49882452.00,63.77,48,74,96,187,4565,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,17,59,0,1,19984869,50037856.14,64.83,49,78,96,205,4845,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,18,60,0,1,20019388,49951576.94,63.91,49,73,87,181,4756,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,19,61,0,1,19994970,50012578.16,64.20,49,73,85,178,4192,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,20,62,0,1,19931120,50172795.11,65.35,49,76,105,205,3882,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,21,63,0,1,20000349,49999127.52,66.39,49,79,99,186,4362,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,22,64,0,1,20007857,49980365.21,68.97,49,77,105,234,4514,1000,38680,38680,39.61,2.48,1,compact,0,
phmap_sequential_keys_2t_1000000m,parallel-hashmap,2.0.0,sequential_keys,2,1000000,1000000,23,65,0,1,19962567,50093757.98,68.13,49,78,98,166,4994,1000,38680,38680,39.61,2.48,1,compact,0,
