run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,0,42,0,1,24200559,41321359.56,72.02,60,75,92,171,4777,1000,38904,38904,39.84,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,1,43,0,1,24095242,41501969.56,66.66,60,80,102,179,1056,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,2,44,0,1,24153625,41401652.96,67.66,60,79,102,181,1183,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,3,45,0,1,24105600,41484136.47,66.66,60,79,101,175,853,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,4,46,0,1,24114548,41468743.27,66.28,60,78,97,182,836,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,5,47,0,1,24071400,41543076.02,70.66,60,77,90,174,5951,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,6,48,0,1,24102224,41489947.15,64.88,60,76,92,166,865,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,7,49,0,1,24264006,41213309.95,66.82,60,78,101,168,1196,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,8,50,0,1,24082762,41523476.42,66.55,61,80,96,169,820,1000,38876,38876,39.81,2.49,1,compact,0,
phmap_zipfian_2t_1000000m,parallel-hashmap,2.0.0,zipfian,2,1000000,1000000,9,51,0,1,24094625,41503032.32,66.08,60,78,99,157,830,1000,38876,38876,39.81,2.49,1,compact,0,
