run_id,map_name,map_version,scenario,thread_count,map_size,ops_per_trial,repeat_index,seed,core_mapping,duration_ns,ops_per_sec,mean_sample_latency_ns,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,max_sample_latency_ns,sampled_ops_count,peak_rss_kb,current_rss_kb,bytes_per_entry,overhead_ratio,numa_nodes,pinning_strategy,allocation_node,notes
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,0,42,0,1,23226725,43053852.84,64.56,61,76,81,114,1008,1000,6268,6268,64.18,4.01,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,1,43,0,1,23180645,43139438.10,63.89,61,77,84,116,550,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,2,44,0,1,23177241,43145773.91,64.24,61,76,87,122,515,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,3,45,0,1,23165786,43167108.60,66.23,61,75,82,115,2397,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,4,46,0,1,23160224,43177475.31,64.89,61,77,84,121,578,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,5,47,0,1,23177024,43146177.87,63.65,61,75,81,114,590,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,6,48,0,1,23165883,43166927.85,63.49,61,75,82,116,405,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,7,49,0,1,23176072,43147950.18,64.20,62,76,82,112,398,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,8,50,0,1,23154143,43188815.06,68.55,61,75,82,112,5069,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,9,51,0,1,23165486,43167667.62,64.32,61,77,85,116,400,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,10,52,0,1,23156621,43184193.41,63.57,61,76,82,114,369,1000,6220,6220,63.69,3.98,1,spread,0,
phmap_zipfian_2t_100000m,parallel-hashmap,2.0.0,zipfian,2,100000,1000000,11,53,0,1,23175318,43149353.98,63.82,61,76,85,119,444,1000,6220,6220,63.69,3.98,1,spread,0,
